Rk,Name▲,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
35.0,Yacksel Ríos,31.0,3,1,0.75,3.3,27,0,8,0,0,3,30.0,25,13,11,2,22,0,30,3,2,6,135,1.567,7.5,0.6,6.6,9.0,1.36,
36.0,Yolmer Sanchez,32.0,0,0,,6.75,5,0,5,0,0,0,4.0,7,3,3,1,1,0,0,0,0,0,21,2.0,15.8,2.3,2.3,0.0,0.0,
37.0,Christian Scott,25.0,3,0,1.0,2.76,9,9,0,0,0,0,42.1,29,13,13,10,12,0,55,0,0,0,164,0.969,6.2,2.1,2.6,11.7,4.58,
38.0,Andre Scrubb,29.0,0,0,,9.0,1,0,1,0,0,0,2.0,2,2,2,0,3,0,0,0,0,0,8,2.5,9.0,0.0,13.5,0.0,0.0,
39.0,Kodai Senga,31.0,0,0,,5.23,3,3,0,0,0,0,10.1,12,6,6,1,7,0,7,0,0,3,48,1.839,10.5,0.9,6.1,6.1,1.0,
40.0,Drew Smith,30.0,1,0,1.0,9.0,4,0,0,0,0,0,4.0,5,4,4,1,1,0,1,0,0,0,17,1.5,11.3,2.3,2.3,2.3,1.0,
41.0,Brandon Sproat,23.0,0,1,0.0,9.24,3,3,0,0,0,0,12.2,18,13,13,5,5,0,6,0,0,0,58,1.816,12.8,3.6,3.6,4.3,1.2,
42.0,Cole Sulser,34.0,2,2,0.5,1.48,24,1,12,0,0,2,30.1,16,10,5,4,16,0,34,1,1,0,121,1.055,4.7,1.2,4.7,10.1,2.13,
43.0,Blade Tidwell,23.0,0,7,0.0,5.46,14,13,0,0,0,0,64.1,53,46,39,14,43,0,54,4,0,5,288,1.492,7.4,2.0,6.0,7.6,1.26,
44.0,Mike Vasil,24.0,7,8,0.467,5.67,24,22,0,0,0,0,112.2,125,78,71,19,41,0,94,13,1,4,504,1.473,10.0,1.5,3.3,7.5,2.29,
45.0,Josh Walker*,29.0,2,2,0.5,2.83,25,0,8,0,0,5,28.2,16,12,9,2,21,0,39,2,0,3,126,1.291,5.0,0.6,6.6,12.2,1.86,
46.0,Alex Young*,30.0,1,0,1.0,6.75,5,0,2,0,0,0,5.1,5,4,4,0,3,0,3,1,0,0,24,1.5,8.4,0.0,5.1,5.1,1.0,
47.0,Danny Young*,30.0,1,1,0.5,1.26,15,0,6,0,0,3,14.1,8,2,2,0,12,1,22,4,0,1,66,1.395,5.0,0.0,7.5,13.8,1.83,
48.0,Tyler Zuber,29.0,0,1,0.0,8.1,9,0,4,0,0,0,6.2,8,6,6,2,8,0,7,0,0,0,34,2.4,10.8,2.7,10.8,9.5,0.88,
