Player,Pitches,1B,2B,HR,SO,K%,BB,BB%,Whiffs,Swings,Downward Movement w/�Gravity (in),Glove/Arm-Side Movement (in),Vertical Movement w/o�Gravity (in),Movement Toward/Away from Batter (in),Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release�Pt (ft),Horizontal Release�Pt (ft),Extension (ft),PX (ft),PZ (ft),Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,IBB,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
"Kranick, Max RHP",753,21,15,9,40,19.8,13,6.4,94,364,26.9,1.2 GLV,8.3,0.1 TWD,25.8,88.7,89.3,2178,5.95,-2.02,6.5,0.06,2.64,26.0,1,1,0.5,3.51,32,3,10,0,0,2,51.1,49,23,20,1,1,0,1,216,1.266,8.6,1.8,2.8,7.4,2.63
"Lavender, Nate LHP",143,4,0,2,9,26.5,7,20.6,15,55,28.5,6.6 ARM,11.5,5.2 AWY,27.3,83.4,85.2,1928,5.28,1.61,7.4,-0.01,2.38,24.0,0,0,,3.86,5,1,0,0,0,0,7.0,6,3,3,0,0,0,0,34,1.857,7.7,2.6,9.0,11.6,1.29
"Lucchesi, Joey LHP",1604,69,16,13,74,17.3,48,11.2,134,761,31.3,6.1 ARM,7.1,2.3 AWY,17.6,84.9,84.9,2097,6.11,2.48,6.1,0.07,2.48,31.0,5,6,0.455,4.93,20,17,0,0,0,0,98.2,99,57,54,0,1,3,4,427,1.49,9.0,1.2,4.4,6.8,1.54
"McLoughlin, Trey RHP",20,0,1,0,2,50.0,0,0.0,3,10,30.0,0.4 GLV,6.8,0.4 AWY,30.0,86.4,88.3,1384,5.83,-0.14,7.4,0.33,2.39,25.0,0,0,,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,4,1.0,9.0,0.0,0.0,18.0,
"Megill, Tylor RHP",658,23,5,3,54,32.9,17,10.4,94,307,25.3,3.7 ARM,8.4,0.4 TWD,30.6,90.5,92.1,2086,5.96,-1.9,7.2,0.17,2.25,28.0,3,0,1.0,3.15,8,8,0,0,0,0,40.0,32,15,14,0,0,0,1,164,1.225,7.2,0.7,3.8,12.2,3.18
"Miller, Troy RHP",72,1,3,3,3,16.7,4,22.2,7,31,30.4,2.8 ARM,7.3,2.3 AWY,22.6,85.7,86.2,1914,6.02,-1.21,6.4,0.06,2.49,27.0,0,0,,27.0,1,1,0,0,0,0,2.1,7,7,7,0,0,0,0,18,4.714,27.0,11.6,15.4,11.6,0.75
"Montes de Oca, Bryce RHP",102,1,0,0,5,21.7,9,39.1,7,24,25.5,5.4 ARM,6.9,0.0 AWY,29.2,92.3,93.5,2214,5.71,-2.49,6.8,-0.1,2.25,28.0,0,0,,7.71,6,0,0,0,0,0,4.2,3,4,4,0,2,0,0,27,2.571,5.8,3.9,17.4,13.5,0.78
"Moreno, Luis RHP",120,4,2,0,7,23.3,6,20.0,7,38,34.5,4.2 ARM,1.0,1.0 AWY,18.4,88.0,87.6,2530,6.16,-1.53,5.9,0.13,2.7,25.0,0,2,0.0,14.29,2,2,0,0,0,0,5.2,6,9,9,0,1,0,2,30,2.118,9.5,0.0,9.5,11.1,1.17
"Nittoli, Vinny RHP",66,1,2,1,3,18.8,1,6.3,13,38,34.4,4.7 GLV,4.3,2.3 TWD,34.2,84.1,85.3,2554,5.1,-2.84,6.9,-0.04,2.04,33.0,1,1,0.5,9.82,3,0,1,0,0,0,3.2,4,5,4,0,0,0,0,16,1.364,9.8,2.5,2.5,7.4,3.0
"Núñez, Dedniel RHP",227,4,3,0,21,38.9,5,9.3,49,123,27.9,2.0 ARM,5.6,0.1 AWY,39.8,90.6,90.8,2459,5.59,-2.32,6.3,0.39,2.41,28.0,3,0,1.0,1.29,14,0,5,0,0,2,14.0,8,2,2,1,0,0,0,55,1.0,5.1,0.0,3.9,13.5,3.5
"O'Neill, Matt RHP",4,0,0,0,0,0.0,0,0.0,0,2,63.1,4.0 ARM,15.3,4.0 AWY,0.0,59.0,57.6,1383,6.46,-1.3,4.7,-0.65,3.5,26.0,0,0,,0.0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
"Orze, Eric RHP",847,24,5,8,70,32.6,26,12.1,146,373,32.1,6.8 ARM,4.6,1.8 AWY,39.1,86.6,87.6,1926,6.08,-1.58,6.9,-0.12,2.48,26.0,4,1,0.8,3.35,36,0,8,0,0,2,51.0,37,21,19,0,2,0,1,215,1.235,6.5,1.4,4.6,12.4,2.69
"Parsons, Hunter RHP",138,4,0,1,10,30.3,8,24.2,16,52,24.5,1.1 ARM,11.6,1.2 AWY,30.8,87.8,88.4,2013,5.28,-2.48,6.8,0.48,2.44,27.0,0,0,,6.75,5,1,3,0,0,0,6.2,5,5,5,0,0,0,1,33,1.95,6.8,1.4,10.8,13.5,1.25
"Peterson, David LHP",170,10,2,0,11,25.6,2,4.7,22,95,30.7,8.0 ARM,5.0,5.5 AWY,23.2,87.9,88.9,2105,6.28,2.28,6.8,0.15,2.37,28.0,1,1,0.5,2.79,2,2,0,0,0,0,9.2,12,4,3,0,1,1,1,43,1.448,11.2,0.0,1.9,10.2,5.5
"Ramirez, Jawilme RHP",21,0,1,0,2,40.0,1,20.0,4,13,20.0,6.8 ARM,13.5,4.8 AWY,30.8,90.4,91.1,2086,6.1,-1.77,6.5,0.17,2.19,22.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,5,2.0,9.0,0.0,9.0,18.0,2.0
"Ramos, Wilkin RHP",233,6,6,1,12,17.9,10,14.9,22,105,34.4,5.9 ARM,1.1,2.4 TWD,21.0,88.4,90.5,2072,4.63,-2.75,7.5,-0.12,2.66,23.0,3,2,0.6,6.14,16,0,5,0,0,2,14.2,14,13,10,2,3,0,2,74,1.909,8.6,0.6,8.6,7.4,0.86
"Reid-Foley, Sean RHP",71,5,0,1,3,15.0,2,10.0,7,36,21.8,5.6 ARM,11.4,2.6 AWY,19.4,91.1,92.1,1936,5.59,-1.03,6.8,0.32,2.61,28.0,0,0,,4.15,4,0,1,0,0,0,4.1,6,3,2,0,0,0,0,20,1.846,12.5,2.1,4.2,6.2,1.5
"Ríos, Yacksel RHP",552,15,8,2,30,22.2,22,16.3,77,248,20.9,5.1 ARM,11.8,1.1 TWD,31.0,92.0,92.2,1933,5.95,-1.11,6.4,-0.01,2.25,31.0,3,1,0.75,3.3,27,0,8,0,0,3,30.0,25,13,11,0,3,2,6,135,1.567,7.5,0.6,6.6,9.0,1.36
"Sanchez, Yolmer RHP",59,5,1,1,0,0.0,1,4.8,0,27,81.4,3.3 ARM,13.2,0.4 AWY,0.0,55.6,53.6,1299,6.62,-1.32,4.2,-0.05,3.15,32.0,0,0,,6.75,5,0,5,0,0,0,4.0,7,3,3,0,0,0,0,21,2.0,15.8,2.3,2.3,0.0,0.0
"Scott, Christian RHP",688,17,2,10,55,33.5,12,7.3,103,340,25.5,2.4 ARM,9.5,2.3 AWY,30.3,88.8,89.9,2234,5.35,-2.86,6.8,0.15,2.5,25.0,3,0,1.0,2.76,9,9,0,0,0,0,42.1,29,13,13,0,0,0,0,164,0.969,6.2,2.1,2.6,11.7,4.58
"Scrubb, Andre RHP",36,1,1,0,0,0.0,3,37.5,2,11,33.6,5.2 GLV,2.8,0.2 TWD,18.2,86.8,87.3,2490,6.63,-0.57,6.3,0.04,2.87,29.0,0,0,,9.0,1,0,1,0,0,0,2.0,2,2,2,0,0,0,0,8,2.5,9.0,0.0,13.5,0.0,0.0
"Senga, Kodai RHP",198,6,5,1,7,14.6,7,14.6,29,103,28.8,2.1 ARM,6.8,1.1 TWD,28.2,88.2,88.6,2146,6.13,-2.11,6.4,0.13,2.21,31.0,0,0,,5.23,3,3,0,0,0,0,10.1,12,6,6,0,0,0,3,48,1.839,10.5,0.9,6.1,6.1,1.0
"Smith, Drew RHP",59,2,2,1,1,5.9,1,5.9,7,32,25.8,0.7 GLV,9.4,0.7 AWY,21.9,88.5,88.1,2597,5.91,-2.18,5.9,0.08,2.46,30.0,1,0,1.0,9.0,4,0,0,0,0,0,4.0,5,4,4,0,0,0,0,17,1.5,11.3,2.3,2.3,2.3,1.0
"Sproat, Brandon RHP MLB #40 / #NYM #1",207,11,2,5,6,10.3,5,8.6,15,103,26.4,4.3 ARM,7.1,2.9 AWY,14.6,90.9,91.0,2065,5.81,-2.63,6.3,-0.02,2.24,23.0,0,1,0.0,9.24,3,3,0,0,0,0,12.2,18,13,13,0,0,0,0,58,1.816,12.8,3.6,3.6,4.3,1.2
"Sulser, Cole RHP",486,10,2,4,34,28.1,16,13.2,74,223,25.3,7.0 ARM,10.4,2.1 AWY,33.2,87.6,88.1,2073,5.96,-1.72,6.5,0.2,2.3,34.0,2,2,0.5,1.48,24,1,12,0,0,2,30.1,16,10,5,0,1,1,0,121,1.055,4.7,1.2,4.7,10.1,2.13
"Tidwell, Blade RHP NYM #8",1115,33,6,14,54,18.8,43,14.9,119,499,26.1,0.6 GLV,8.9,0.8 AWY,23.8,88.7,89.2,2341,6.39,-1.92,6.5,0.1,2.48,23.0,0,7,0.0,5.46,14,13,0,0,0,0,64.1,53,46,39,0,4,0,5,288,1.492,7.4,2.0,6.0,7.6,1.26
"Vasil, Mike RHP NYM #18",1953,78,25,19,94,18.7,41,8.1,211,913,30.9,3.5 ARM,5.0,0.4 AWY,23.1,87.8,87.5,2273,6.02,-1.45,6.0,0.01,2.46,24.0,7,8,0.467,5.67,24,22,0,0,0,0,112.2,125,78,71,0,13,1,4,504,1.473,10.0,1.5,3.3,7.5,2.29
"Walker, Josh LHP",530,13,1,2,39,32.5,19,15.8,96,248,24.3,0.3 ARM,10.8,1.0 AWY,38.7,88.9,90.4,2183,6.38,2.64,7.1,-0.21,2.73,29.0,2,2,0.5,2.83,25,0,8,0,0,5,28.2,16,12,9,0,2,0,3,126,1.291,5.0,0.6,6.6,12.2,1.86
"Young, Alex LHP",86,4,1,0,3,12.5,3,12.5,14,42,35.2,9.2 ARM,2.5,6.6 AWY,33.3,85.2,84.5,1859,5.97,2.1,5.7,0.29,1.84,30.0,1,0,1.0,6.75,5,0,2,0,0,0,5.1,5,4,4,0,1,0,0,24,1.5,8.4,0.0,5.1,5.1,1.0
"Young, Danny LHP",267,6,2,0,22,33.8,11,16.9,35,99,37.7,3.5 GLV,1.7,1.4 TWD,35.4,84.2,83.5,2580,5.26,3.61,5.9,-0.12,2.02,30.0,1,1,0.5,1.26,15,0,6,0,0,3,14.1,8,2,2,1,4,0,1,66,1.395,5.0,0.0,7.5,13.8,1.83
"Zuber, Tyler RHP",148,6,0,2,7,20.6,8,23.5,16,58,26.8,5.1 GLV,8.7,2.4 AWY,27.6,88.0,87.8,2474,5.24,-2.22,6.1,-0.2,2.3,29.0,0,1,0.0,8.1,9,0,4,0,0,0,6.2,8,6,6,0,0,0,0,34,2.4,10.8,2.7,10.8,9.5,0.88
