Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Jason Alexander,31,"6' 2""",227,AAA,BOS,3.0,7.9,45%,9.6%,3.81,468,23,21,106.2,117,10,56,36,94,0.70,4.73,1.43
Dom Hamel,25,"6' 2""",206,AAA,NYM,5.6,9.2,44%,10.6%,5.23,499,23,23,106.2,121,17,77,66,109,1.75,6.50,1.75
Trenton Denholm,24,"5' 11""",180,A+,CLE,2.1,8.0,44%,12.1%,3.85,442,19,19,106.2,89,13,39,25,95,1.13,3.29,1.07
Manuel Mercedes,21,"6' 4""",190,A+,SF,4.3,6.9,61%,8.4%,4.76,481,24,23,106.1,114,11,61,51,82,0.46,5.16,1.55
Chen-Wei Lin,22,"6' 7""",188,A,STL,3.0,9.4,47%,10.7%,2.72,422,20,20,106.0,75,3,34,35,111,0.86,2.89,1.04
Inohan Paniagua,24,"6' 1""",148,A+,STL,3.9,9.5,44%,9.9%,4.22,446,23,18,105.1,82,11,44,46,111,0.79,3.76,1.22
Michael Mariot,35,"6' 0""",190,AAA,SEA,2.2,7.5,42%,7.6%,4.48,442,23,20,105.0,105,16,64,26,88,2.21,5.49,1.25
Richard Fitts,24,"6' 3""",230,AAA,BOS,3.2,8.6,38%,11.2%,4.74,451,22,21,104.2,105,18,52,37,100,1.01,4.47,1.36
Ashton Izzi,20,"6' 3""",165,A,SEA,4.9,7.7,41%,7.3%,3.78,459,24,24,104.2,91,4,35,57,89,0.92,3.01,1.41
Carlos Marcano,21,"6' 2""",150,A+,DET,2.6,7.8,40%,10.2%,3.08,450,24,21,104.1,111,5,43,30,90,0.77,3.71,1.35
Yorman Gomez,21,"5' 11""",167,A,CLE,3.3,8.3,45%,16.7%,3.37,446,21,20,104.0,92,6,44,38,96,1.01,3.81,1.25
Juan Salas,21,"6' 0""",189,A,STL,2.1,9.4,33%,14.7%,3.11,419,20,20,103.1,87,9,32,24,108,1.94,2.79,1.07
Chris Clark,23,"6' 4""",195,A+,LAA,5.1,8.5,41%,10.9%,4.74,466,21,21,103.0,102,11,70,58,97,1.10,6.12,1.55
Allan Winans,29,"6' 2""",165,AAA,ATL,2.3,8.1,40%,12.0%,3.97,430,19,16,103.0,92,13,37,26,93,0.82,3.23,1.15
David Buchanan,35,"6' 3""",200,AAA,PHI,2.9,6.8,52%,7.8%,4.33,446,22,16,102.2,119,13,55,33,78,0.65,4.82,1.48
Will Rudy,23,"6' 1""",170,A+,MIL,2.8,8.4,40%,7.7%,4.49,424,21,20,102.1,91,16,53,32,95,1.33,4.66,1.20
Jackson Rutledge,25,"6' 8""",241,AAA,WSH,5.6,9.1,45%,9.5%,5.21,478,23,23,102.0,114,15,80,63,103,1.08,7.06,1.74
