,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
32,Will Warren,25,"6' 2""",175,AAA,NYY,3.3,10.8,47%,11.9%,4.60,425,20,20,95.2,99,18,65,35,115,0.72,6.11,1.40
33,Cristian Mena,21,"6' 2""",170,AAA,AZ,4.3,9.6,48%,13.4%,4.68,424,19,19,95.2,101,15,49,46,102,0.73,4.61,1.54
34,Tyler Phillips,26,"6' 5""",225,AAA,PHI,3.8,7.7,51%,8.7%,4.27,413,16,16,95.1,99,11,55,40,82,0.62,5.19,1.46
35,Connor Gillispie,26,"5' 11""",185,AAA,CLE,3.9,9.1,34%,11.1%,5.40,406,23,11,95.0,82,20,42,41,96,1.48,3.98,1.29
36,Peyton Battenfield,27,"6' 4""",224,AAA,COL,3.6,6.8,32%,11.7%,6.31,435,21,19,94.2,121,24,86,38,71,1.81,8.18,1.68
37,A.J. Blubaugh,24,"6' 2""",190,AAA,HOU,3.9,8.3,41%,12.9%,4.14,404,21,19,94.1,94,10,44,41,87,1.21,4.20,1.43
38,Dylan Dodd,26,"6' 2""",210,AAA,ATL,2.7,8.0,42%,12.6%,4.34,414,20,17,94.0,107,14,51,28,84,1.16,4.88,1.44
39,Jonathan Bowlan,27,"6' 6""",240,AAA,KC,3.2,8.3,46%,11.3%,4.53,403,27,16,93.0,95,14,49,33,86,0.94,4.74,1.38
40,Justin Armbruester,25,"6' 4""",235,AAA,BAL,5.3,9.8,20%,11.1%,6.16,442,23,21,93.0,101,21,82,55,101,2.37,7.94,1.68
41,Johan Dominguez,28,"6' 4""",190,AAA,CWS,4.5,7.6,50%,12.7%,4.64,408,22,18,92.2,89,10,40,46,78,0.88,3.88,1.46
42,Will Dion,24,"5' 10""",180,AAA,CLE,4.1,9.5,39%,11.0%,4.64,406,23,22,92.1,93,15,55,42,97,0.98,5.36,1.46
43,Owen White,25,"6' 3""",199,AAA,TEX,4.2,7.5,46%,10.9%,5.11,403,22,15,91.0,94,14,57,42,76,0.95,5.64,1.49
44,Colton Gordon,25,"6' 4""",225,AAA,HOU,3.2,8.3,44%,10.0%,4.15,399,19,18,91.0,94,11,49,32,84,1.14,4.85,1.38
45,Thomas Pannone,30,"6' 0""",209,AAA,CHC,3.2,8.6,44%,11.5%,4.49,396,19,19,90.2,101,14,44,32,87,1.05,4.37,1.47
46,Kenny Rosenberg,29,"6' 1""",195,AAA,LAA,3.3,8.1,38%,13.0%,5.52,384,17,17,90.0,88,20,44,33,81,1.44,4.40,1.34
47,Davis Daniel,27,"6' 1""",190,AAA,LAA,2.8,9.5,43%,8.0%,3.57,399,17,16,89.2,108,10,56,28,95,1.06,5.62,1.52
48,Adam Kloffenstein,23,"6' 5""",245,AAA,STL,4.1,7.4,49%,11.7%,5.14,376,17,17,89.1,78,13,47,41,73,0.88,4.74,1.33
49,Jackson Wolf,25,"6' 7""",205,AAA,SD,5.8,7.7,38%,11.0%,5.52,432,26,18,89.0,110,13,70,57,76,1.06,7.08,1.88
50,Mick Abel,23,"6' 5""",190,AAA,PHI,6.6,9.0,47%,8.2%,5.59,410,19,19,88.0,89,14,57,64,88,1.06,5.83,1.74
51,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
52,Yonny Chirinos,30,"6' 2""",225,AAA,MIA,3.3,7.0,49%,9.5%,4.22,368,16,16,87.2,79,9,33,32,68,0.83,3.39,1.27
53,Tucker Davidson,28,"6' 2""",215,AAA,BAL,3.4,8.4,49%,10.2%,4.16,379,26,11,87.2,79,11,35,33,82,0.83,3.59,1.28
54,Anthony Veneziano,26,"6' 5""",205,AAA,KC,4.2,7.5,53%,9.4%,4.69,375,29,13,86.0,86,11,44,40,72,1.07,4.60,1.47
55,Zach Logue,28,"6' 0""",165,AAA,ATL,2.2,8.3,47%,9.0%,3.65,342,21,12,85.0,69,8,27,21,78,0.94,2.86,1.06
56,Tanner Tully,29,"6' 2""",205,AAA,NYY,2.2,5.3,35%,6.0%,5.44,378,22,19,85.0,103,17,64,21,50,2.01,6.78,1.46
57,Jake Woodford,27,"6' 4""",215,AAA,PIT,2.3,8.4,-,-,4.17,356,17,17,85.0,83,12,38,22,79,1.01,4.02,1.24
58,Mason Black,24,"6' 3""",230,AAA,SF,4.2,9.3,38%,10.4%,4.56,367,20,20,84.1,78,12,43,39,87,1.55,4.59,1.39
59,Bryan Sammons,29,"6' 4""",235,AAA,DET,3.6,8.4,42%,12.1%,4.33,358,17,17,84.0,73,11,39,34,78,1.50,4.18,1.27
60,Grant Gambrell,26,"6' 4""",225,AAA,BOS,3.7,7.0,43%,12.8%,4.02,369,18,16,83.2,85,6,38,34,65,1.23,4.09,1.42
61,Mason Montgomery,24,"6' 2""",195,AAA,TB,3.6,10.2,38%,12.7%,5.28,386,26,14,83.0,105,19,61,33,94,1.29,6.61,1.66
62,Aaron Ashby,26,"6' 1""",188,AAA,MIL,7.9,9.8,52%,8.1%,4.71,416,24,14,83.0,95,5,75,73,90,0.51,8.13,2.02
63,Luis Cessa,32,"6' 0""",222,AAA,PIT,4.3,6.5,-,-,4.96,360,22,19,83.0,83,11,40,40,60,0.93,4.34,1.48
64,Riley Thompson,28,"6' 4""",210,AAA,CHC,4.5,8.0,44%,12.2%,4.98,378,29,11,82.1,97,13,61,41,73,1.06,6.67,1.68
65,Tommy Henry,27,"6' 3""",205,AAA,AZ,4.9,10.3,45%,11.7%,3.55,347,15,15,79.1,80,6,39,43,91,1.24,4.42,1.55
66,Ty Madden,24,"6' 3""",215,AAA,DET,4.6,11.6,40%,11.1%,4.97,370,18,18,79.0,100,17,70,40,102,1.27,7.97,1.77
67,Dan Straily,35,"6' 2""",220,AAA,CHC,4.4,8.6,36%,14.0%,5.81,351,17,16,78.2,79,18,48,38,75,1.31,5.49,1.49
68,Cade Povich,24,"6' 3""",185,AAA,BAL,3.1,10.3,38%,12.1%,3.16,316,15,14,77.2,59,7,30,27,89,1.09,3.48,1.11
69,Brett Kerry,25,"6' 0""",213,AAA,LAA,2.3,7.3,35%,9.1%,5.20,343,14,13,77.2,93,16,49,20,63,1.67,5.68,1.45
70,Darius Vines,26,"6' 1""",190,AAA,ATL,2.6,6.3,39%,15.2%,5.14,326,14,14,77.0,82,14,44,22,54,1.32,5.14,1.35
71,Carson Whisenhunt,23,"6' 3""",209,AAA,SF,5.0,11.9,34%,14.2%,4.62,352,19,19,77.0,85,13,50,43,102,0.95,5.84,1.66
72,Nathan Wiles,26,"6' 4""",228,AAA,TB,3.0,7.3,38%,13.2%,5.20,345,28,11,75.2,96,14,51,25,61,1.11,6.07,1.60
73,Emerson Hancock,25,"6' 4""",213,AAA,SEA,3.8,6.2,46%,8.2%,4.25,319,14,14,75.2,65,6,29,32,52,1.23,3.45,1.28
74,Eric Lauer,29,"6' 3""",209,AAA,HOU,3.7,10.3,26%,10.9%,4.21,340,19,16,75.1,87,11,44,31,86,1.49,5.26,1.57
75,Chandler Champlain,25,"6' 5""",220,AAA,KC,3.9,7.5,33%,4.8%,5.40,330,15,14,74.2,80,14,47,32,62,1.04,5.67,1.50
76,Paxton Schultz,26,"6' 3""",205,AAA,TOR,5.0,11.3,43%,11.6%,4.19,321,32,6,74.1,62,10,36,41,93,1.20,4.36,1.39
77,Darren McCaughan,28,"6' 1""",200,AAA,MIA,3.4,9.1,41%,11.9%,4.67,317,15,15,74.0,70,13,42,28,75,1.06,5.11,1.32
78,Nick Nastrini,24,"6' 3""",215,AAA,CWS,5.5,10.2,32%,14.4%,5.69,344,17,17,74.0,75,16,45,45,84,1.57,5.47,1.62
79,Connor Thomas,26,"5' 11""",195,AAA,STL,2.2,8.4,50%,10.4%,3.62,320,46,3,73.1,90,8,29,18,68,0.86,3.56,1.47
80,Louie Varland,26,"6' 1""",205,AAA,MIN,3.4,10.3,68%,12.6%,4.27,326,15,15,73.1,77,12,40,28,84,0.60,4.91,1.43
81,Brian Van Belle,27,"6' 3""",185,AAA,BOS,3.0,7.9,40%,10.8%,4.08,334,23,9,73.0,96,9,44,24,64,0.73,5.42,1.64
82,Bryce Elder,25,"6' 2""",220,AAA,ATL,3.1,9.3,50%,11.3%,3.06,300,12,12,73.0,62,5,29,25,75,0.60,3.58,1.19
83,Kolby Allard,27,"6' 1""",195,AAA,PHI,4.0,8.7,37%,9.4%,4.79,332,18,12,72.2,87,12,44,32,70,1.07,5.45,1.64
84,J.T. Ginn,25,"6' 2""",200,AAA,OAK,3.7,8.6,72%,15.5%,4.59,325,15,14,72.1,80,10,46,30,69,0.58,5.72,1.52
85,Evan McKendry,26,"6' 3""",200,AAA,MIL,2.9,7.1,29%,9.6%,4.59,307,19,8,72.0,66,10,42,23,57,1.52,5.25,1.24
86,Sem Robberse,22,"6' 1""",195,AAA,STL,3.1,8.9,44%,12.7%,4.63,296,13,11,71.2,62,13,37,25,71,1.09,4.65,1.21
87,Brandon Leibrandt,31,"6' 4""",190,AAA,CIN,2.3,7.9,-,-,4.10,304,14,14,71.2,71,10,33,18,63,1.24,4.14,1.24
88,Jack Leiter,24,"6' 1""",205,AAA,TEX,4.3,12.7,40%,16.8%,3.61,307,16,15,71.1,58,9,29,34,101,1.20,3.66,1.29
89,Brant Hurter,25,"6' 6""",250,AAA,DET,2.9,8.8,47%,11.3%,4.09,323,19,18,71.1,82,8,46,23,70,0.68,5.80,1.47
90,Garrett Stallings,27,"6' 2""",200,AAA,MIL,4.2,7.7,-,-,4.97,313,24,9,71.1,75,11,41,33,61,1.49,5.17,1.51
91,Dallas Keuchel,36,"6' 2""",205,AAA,SEA,2.8,5.7,57%,9.0%,4.78,288,13,13,71.0,64,10,31,22,45,0.40,3.93,1.21
92,David Parkinson,28,"6' 2""",210,AAA,PHI,3.5,6.4,42%,8.3%,5.18,307,19,11,69.1,75,10,42,27,49,1.11,5.45,1.47
93,Joan Adon,26,"6' 2""",247,AAA,WSH,5.5,7.4,37%,10.7%,5.55,326,23,13,69.0,71,9,41,42,57,1.23,5.35,1.64
94,Domingo Germán,32,"6' 2""",181,AAA,PIT,4.1,8.7,29%,12.4%,5.05,302,13,13,68.0,66,12,40,31,66,1.57,5.29,1.43
95,Lael Lockhart,26,"6' 3""",225,AAA,DET,4.4,11.1,50%,11.2%,5.17,302,15,13,68.0,63,14,44,33,84,0.92,5.82,1.41
96,Aaron Brooks,34,"6' 4""",230,AAA,OAK,2.1,6.7,50%,9.4%,3.33,299,15,9,67.2,83,4,37,16,50,0.67,4.92,1.46
97,Humberto Castellanos,26,"5' 11""",222,AAA,AZ,4.0,9.0,38%,8.6%,5.85,284,15,14,67.2,53,17,33,30,68,1.13,4.39,1.23
98,Victor Santos,24,"6' 1""",240,AAA,STL,3.9,6.8,48%,10.9%,4.61,297,24,8,67.2,79,8,46,29,51,1.03,6.12,1.60
99,Randy Wynne,31,"6' 1""",180,AAA,CIN,3.3,6.3,41%,7.0%,6.45,289,22,14,67.1,70,18,33,25,47,1.43,4.41,1.41
100,Paolo Espino,37,"5' 10""",212,AAA,TOR,2.7,6.2,38%,8.7%,4.26,295,15,15,67.0,77,7,37,20,46,1.43,4.97,1.45
101,Logan Allen,27,"6' 3""",200,AAA,AZ,3.8,7.4,50%,15.1%,4.47,303,14,13,66.2,78,8,37,28,55,1.26,5.00,1.59
102,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
103,Jacob Lopez,26,"6' 4""",220,AAA,TB,4.3,10.8,33%,13.5%,4.38,284,16,14,66.2,52,10,29,32,80,1.19,3.92,1.26
104,Lake Bachar,29,"6' 2""",219,AAA,SD,4.1,10.8,21%,11.7%,4.35,289,43,1,66.2,68,11,31,30,80,2.24,4.19,1.47
105,Bruce Zimmermann,29,"6' 1""",220,AAA,BAL,3.4,8.2,46%,10.7%,4.03,293,18,14,66.0,72,7,34,25,60,0.82,4.64,1.47
106,Konnor Pilkington,26,"6' 3""",240,AAA,AZ,6.0,8.6,49%,14.4%,4.78,315,27,17,65.2,83,7,49,44,63,0.98,6.72,1.93
107,Yoendrys Gómez,24,"6' 3""",212,AAA,NYY,4.9,9.3,42%,12.4%,4.83,271,18,18,65.0,45,9,28,35,67,1.62,3.88,1.23
108,Robert Dugger,29,"6' 0""",198,AAA,OAK,4.9,8.5,-,-,5.99,283,14,10,65.0,57,15,34,35,61,0.84,4.71,1.42
109,Reid Detmers,25,"6' 2""",210,AAA,LAA,3.1,11.5,-,-,5.15,293,12,12,65.0,74,17,46,22,83,1.33,6.37,1.48
110,Justin Hagenman,27,"6' 3""",205,AAA,BOS,3.6,10.0,32%,10.1%,6.00,291,22,10,64.2,66,18,40,26,72,1.24,5.57,1.42
111,Travis MacGregor,26,"6' 4""",215,AAA,LAA,3.5,8.3,52%,10.5%,3.82,276,32,1,64.1,57,5,22,25,59,0.65,3.08,1.27
112,Chris Ellis,31,"6' 5""",205,AAA,AZ,6.3,6.2,28%,7.9%,6.87,310,15,15,64.1,77,14,65,45,44,1.18,9.09,1.90
113,Brandon Young,26,"6' 6""",210,AAA,BAL,3.5,9.8,-,-,3.29,265,15,13,64.0,52,5,24,25,70,1.23,3.38,1.20
114,Tommy Romero,27,"6' 2""",222,AAA,SF,5.1,8.5,40%,10.5%,4.75,269,15,8,63.2,49,8,22,36,60,1.22,3.11,1.34
115,Blair Henley,27,"6' 3""",190,AAA,HOU,5.9,8.6,47%,10.4%,5.84,305,15,14,63.2,71,10,39,42,61,0.74,5.51,1.77
116,Walter Pennington,26,"6' 2""",205,AAA,TEX,3.0,11.7,-,-,2.93,255,39,2,63.1,43,6,15,21,82,0.59,2.13,1.01
