,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
159,Mason Fluharty,23,"6' 2""",215,AAA,TOR,3.7,9.9,24%,11.1%,3.87,237,46,-,55.2,50,6,25,23,61,1.30,4.04,1.31
160,Tanner Andrews,28,"6' 3""",220,AAA,SF,5.8,12.3,33%,8.3%,4.34,267,38,-,55.2,64,8,43,36,76,1.00,6.95,1.80
161,Luarbert Arias,23,"6' 2""",176,AAA,MIA,3.2,9.7,27%,12.2%,3.80,234,35,-,55.2,43,6,17,20,60,2.53,2.75,1.13
162,Xzavion Curry,26,"6' 0""",195,AAA,MIA,3.7,8.1,22%,8.2%,6.52,251,13,12,55.2,62,16,44,23,50,1.46,7.11,1.53
163,Clay Helvey,27,"6' 3""",195,AAA,SF,4.6,12.2,39%,12.6%,4.22,252,30,-,55.1,54,8,35,28,75,1.34,5.69,1.48
164,Nabil Crismatt,29,"6' 1""",220,AAA,SD,2.9,7.8,-,-,4.62,257,21,11,55.1,76,9,43,18,48,0.84,6.99,1.70
165,Alan Busenitz,33,"6' 1""",180,AAA,CIN,3.0,8.4,31%,9.7%,3.56,229,40,2,55.0,52,5,24,18,51,1.14,3.93,1.27
166,Ronny Henriquez,24,"5' 10""",155,AAA,MIN,2.8,9.7,58%,11.6%,4.16,237,34,3,55.0,59,9,21,17,59,0.63,3.44,1.38
167,Adonis Medina,27,"6' 1""",187,AAA,WSH,3.8,8.5,54%,10.6%,3.49,232,40,-,55.0,52,3,19,23,52,0.49,3.11,1.36
168,Dinelson Lamet,32,"6' 3""",228,AAA,KC,5.7,9.5,-,-,4.64,245,13,12,55.0,48,6,23,35,58,0.96,3.76,1.51
169,Kyle Tyler,27,"6' 0""",200,AAA,PHI,3.9,8.4,-,-,3.58,224,12,10,55.0,41,3,18,24,51,1.08,2.95,1.18
170,Troy Watson,27,"6' 2""",180,AAA,DET,5.4,9.9,-,-,6.28,269,30,9,54.2,74,14,45,33,60,1.38,7.41,1.96
171,Amos Willingham,26,"6' 4""",223,AAA,WSH,3.8,9.1,41%,16.2%,3.81,234,44,-,54.1,52,5,26,23,55,1.06,4.31,1.38
172,Patrick Monteverde,26,"6' 2""",200,AAA,MIA,3.6,6.8,34%,10.4%,6.19,243,11,10,54.1,61,13,35,22,41,1.52,5.80,1.53
173,Hyun-il Choi,24,"6' 2""",215,AAA,LAD,3.8,6.7,45%,9.7%,4.77,234,11,11,54.0,48,6,26,23,40,1.21,4.33,1.31
174,Darren McCaughan,28,"6' 1""",200,AAA,CLE,3.3,9.2,41%,11.9%,4.68,236,11,11,54.0,55,10,33,20,55,0.83,5.50,1.39
175,Scott Blewett,28,"6' 6""",245,AAA,MIN,2.9,8.9,40%,17.2%,2.96,232,37,3,53.2,56,3,22,17,53,1.33,3.69,1.36
176,Wander Suero,32,"6' 4""",216,AAA,HOU,4.7,9.6,29%,13.8%,4.14,231,53,-,53.2,40,5,16,28,57,1.46,2.68,1.27
177,Xzavion Curry,26,"6' 0""",195,AAA,CLE,3.5,7.9,26%,10.0%,6.40,237,12,11,53.1,57,15,39,21,47,1.37,6.58,1.46
178,Taylor Clarke,31,"6' 4""",210,AAA,MIL,2.0,7.4,37%,8.2%,4.59,232,17,12,53.1,59,9,30,12,44,0.92,5.06,1.33
179,Tanner Burns,25,"6' 0""",210,AAA,CLE,6.5,10.2,24%,11.1%,5.65,245,39,-,53.0,47,10,27,38,60,1.45,4.58,1.60
180,Conner Greene,29,"6' 4""",220,AAA,HOU,4.3,9.4,36%,13.3%,4.14,226,31,4,52.2,46,6,26,25,55,1.39,4.44,1.35
181,Kai-Wei Teng,25,"6' 4""",260,AAA,SF,5.1,6.7,44%,8.3%,6.46,252,16,8,52.2,67,11,56,30,39,0.88,9.57,1.84
182,Adam Oller,29,"6' 4""",225,AAA,MIA,4.3,9.7,-,-,4.50,223,18,9,52.2,44,8,31,25,57,0.76,5.30,1.31
183,Connor Sadzeck,32,"6' 7""",235,AAA,PIT,5.3,10.0,45%,10.0%,3.60,249,39,-,52.1,57,2,24,31,58,0.76,4.13,1.68
184,Alek Jacob,26,"6' 3""",190,AAA,SD,5.2,11.0,38%,11.1%,5.33,249,40,-,52.1,64,11,32,30,64,0.93,5.50,1.80
185,Andrew Vasquez,30,"6' 6""",235,AAA,DET,3.6,9.1,39%,10.0%,4.76,244,39,2,52.1,57,7,29,21,53,0.96,4.99,1.49
186,Aaron McGarity,29,"6' 3""",185,AAA,CWS,3.4,8.3,56%,6.7%,4.08,217,43,-,52.1,34,4,16,20,48,0.88,2.75,1.03
187,Peter Solomon,28,"6' 4""",211,AAA,TEX,4.8,8.6,42%,6.8%,5.70,238,17,8,52.1,59,11,41,28,50,1.17,7.05,1.66
188,Geronimo Franzua,30,"6' 1""",170,AAA,PIT,5.7,11.6,0%,27.6%,5.45,232,40,2,52.0,45,11,28,33,67,1.27,4.85,1.50
189,Levi Stoudt,26,"6' 1""",195,AAA,SEA,5.2,6.2,39%,7.7%,7.47,241,12,11,52.0,60,15,40,30,36,1.43,6.92,1.73
190,Brandon Bielak,28,"6' 2""",221,AAA,OAK,4.7,6.8,-,-,5.43,240,13,10,52.0,62,8,39,27,39,0.86,6.75,1.71
191,Sean Guenther,28,"5' 11""",194,AAA,DET,2.6,9.1,52%,12.1%,3.12,222,39,2,51.2,51,4,19,15,52,0.43,3.31,1.28
192,Carlos Garcia,25,"6' 3""",185,AAA,TB,5.2,9.6,33%,10.1%,4.37,229,33,5,51.2,46,5,25,30,55,2.10,4.35,1.47
193,AJ Smith-Shawver,21,"6' 3""",205,AAA,ATL,5.1,11.1,23%,13.5%,6.12,226,14,14,51.1,44,14,32,29,63,2.38,5.61,1.42
194,Shaun Anderson,29,"6' 6""",228,AAA,MIA,2.1,8.5,36%,19.4%,3.04,204,12,9,51.0,46,4,15,12,48,1.72,2.65,1.14
195,Rico Garcia,30,"5' 9""",201,AAA,WSH,4.8,13.1,23%,16.5%,4.32,216,45,-,50.2,38,9,24,27,74,2.00,4.26,1.28
196,Brady Feigl,33,"6' 4""",195,AAA,PIT,2.3,10.7,46%,9.4%,3.78,211,32,1,50.2,51,8,22,13,60,0.98,3.91,1.26
197,Touki Toussaint,28,"6' 3""",215,AAA,CWS,6.9,8.7,49%,14.2%,5.17,240,17,8,50.2,53,5,29,39,49,0.84,5.15,1.82
198,Tanner Dodson,27,"6' 1""",160,AAA,LAD,6.4,7.9,61%,12.6%,4.68,235,32,-,50.1,50,3,20,36,44,0.32,3.58,1.71
199,Casey Legumina,27,"6' 2""",195,AAA,CIN,2.9,8.9,33%,13.1%,3.90,207,33,-,50.1,42,6,19,16,50,1.67,3.40,1.15
200,Andrew Hoffmann,24,"6' 5""",210,AAA,KC,4.5,9.0,49%,9.2%,5.14,250,16,11,50.0,73,8,45,25,50,1.00,8.10,1.96
201,Sean Reynolds,26,"6' 8""",250,AAA,SD,5.8,11.3,46%,12.8%,3.76,232,34,3,50.0,53,4,34,32,63,0.86,6.12,1.70
202,Kyle Tyler,27,"6' 0""",200,AAA,MIA,3.8,7.9,36%,8.4%,3.72,204,11,9,50.0,39,3,17,21,44,1.09,3.06,1.20
203,Sean Burke,24,"6' 6""",230,AAA,CWS,5.9,11.5,-,-,4.82,218,13,13,50.0,35,8,27,33,64,1.47,4.86,1.36
204,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
205,Jake Woodford,27,"6' 4""",215,AAA,CWS,3.1,7.6,41%,7.9%,5.15,214,10,10,49.2,52,9,29,17,42,1.06,5.26,1.39
206,Eric Orze,27,"6' 4""",195,AAA,NYM,4.7,12.7,40%,14.7%,4.18,209,34,-,49.2,35,8,19,26,70,1.17,3.44,1.23
207,Aidan Anderson,27,"6' 1""",195,AAA,TEX,2.0,9.6,26%,14.0%,4.48,206,27,2,49.2,40,10,18,11,53,2.23,3.26,1.03
208,Joey Krehbiel,31,"6' 3""",250,AAA,SEA,3.7,8.8,52%,11.3%,3.79,204,46,-,49.1,35,5,20,20,48,1.02,3.65,1.11
209,Spencer Bivens,30,"6' 5""",205,AAA,SF,3.1,7.7,52%,7.1%,3.51,205,27,-,49.1,42,3,16,17,42,0.85,2.92,1.20
210,Julio Teheran,33,"6' 2""",205,AAA,BAL,4.0,8.9,-,-,5.77,241,12,12,49.1,71,11,49,22,49,1.19,8.94,1.89
211,Jacob Bosiokovic,30,"6' 5""",240,AAA,STL,5.3,11.0,45%,10.3%,4.24,213,41,-,49.0,39,6,22,29,60,1.02,4.04,1.39
212,Luis González,32,"6' 2""",170,AAA,BAL,1.7,10.7,33%,13.3%,2.63,201,36,-,49.0,45,4,23,9,58,1.53,4.22,1.10
213,Max Kranick,27,"6' 3""",220,AAA,NYM,2.9,7.5,31%,8.4%,4.96,207,29,3,49.0,47,9,19,16,41,1.43,3.49,1.29
214,Easton Lucas,27,"6' 4""",180,AAA,DET,4.2,9.6,30%,7.5%,3.61,206,32,1,49.0,41,4,18,23,52,1.05,3.31,1.31
215,Eduardo Salazar,26,"6' 2""",177,AAA,WSH,3.3,7.2,-,-,3.81,217,21,7,49.0,59,3,24,18,39,0.66,4.41,1.57
216,Ryan Middendorf,26,"6' 6""",220,AAA,MIL,3.1,9.4,34%,13.1%,4.20,216,42,-,48.2,47,6,21,17,51,1.04,3.88,1.32
217,Grant Wolfram,27,"6' 8""",240,AAA,TEX,4.1,8.9,47%,11.7%,3.51,202,36,-,48.2,39,3,18,22,48,0.94,3.33,1.25
218,Christian Roa,25,"6' 4""",220,AAA,CIN,5.6,8.7,47%,8.1%,5.73,222,23,4,48.2,55,9,30,30,47,0.78,5.55,1.75
219,Isaac Mattson,29,"6' 2""",205,AAA,PIT,5.2,11.1,33%,14.6%,3.80,213,21,3,48.2,41,5,18,28,60,2.00,3.33,1.42
220,Brooks Kriske,30,"6' 3""",205,AAA,CIN,5.2,13.2,41%,16.8%,3.68,191,41,-,48.1,24,6,17,28,71,1.16,3.17,1.08
221,Keider Montero,24,"6' 1""",145,AAA,DET,5.6,10.1,40%,11.1%,4.30,224,13,13,48.1,52,5,27,30,54,1.26,5.03,1.70
222,Austin Pope,25,"6' 3""",210,AAA,AZ,5.8,11.4,33%,10.7%,3.53,231,45,-,48.1,55,3,32,31,61,0.95,5.96,1.78
223,Tyler Jay,30,"6' 1""",185,AAA,MIL,1.5,6.7,-,-,3.26,192,29,1,48.1,43,3,13,8,36,0.98,2.42,1.06
224,Joe Record,29,"6' 3""",232,AAA,TB,5.4,10.5,50%,7.1%,3.89,229,39,2,48.0,51,4,27,29,56,0.75,5.06,1.67
225,Randy Labaut,27,"6' 2""",205,AAA,CLE,6.2,7.7,32%,14.3%,5.45,219,29,3,48.0,44,7,26,33,41,1.73,4.88,1.60
226,Osvaldo Bido,28,"6' 3""",175,AAA,OAK,3.0,10.3,40%,11.7%,4.74,204,10,9,48.0,48,10,24,16,55,1.31,4.50,1.33
227,Gerson Garabito,29,"6' 0""",160,AAA,TEX,2.1,9.2,55%,14.4%,3.91,196,11,8,48.0,38,6,19,11,49,0.78,3.56,1.02
228,John Rooney,27,"6' 5""",215,AAA,LAD,3.8,9.6,66%,12.4%,4.94,220,41,-,47.2,53,7,26,20,51,0.52,4.91,1.53
229,Ryan Jensen,26,"6' 0""",190,AAA,MIN,8.7,12.8,63%,13.4%,3.71,218,36,2,47.2,31,1,20,46,68,0.59,3.78,1.62
230,Beau Sulser,30,"6' 2""",195,AAA,TOR,2.5,7.0,32%,10.3%,6.23,212,17,8,47.2,55,13,28,13,37,1.26,5.29,1.43
231,Trey Supak,28,"6' 5""",268,AAA,CHC,2.8,7.6,-,-,4.51,208,11,5,47.2,54,7,22,15,40,0.98,4.15,1.45
232,Luis Guerrero,24,"6' 0""",215,AAA,BOS,5.7,12.2,43%,13.8%,4.62,214,36,-,47.1,37,6,19,30,64,1.39,3.61,1.42
233,Anthony Misiewicz,29,"6' 1""",196,AAA,NYY,2.7,11.6,44%,15.3%,2.61,195,38,-,47.1,39,4,16,14,61,0.88,3.04,1.12
234,Ray Gaither,26,"6' 4""",224,AAA,HOU,5.3,8.8,44%,9.7%,3.92,212,41,-,47.1,45,3,18,28,46,0.80,3.42,1.54
235,Yerry De Los Santos,26,"6' 2""",210,AAA,NYY,3.5,8.4,45%,8.5%,5.03,213,40,1,47.0,56,9,24,18,44,0.71,4.60,1.57
236,Brenan Hanifee,26,"6' 5""",215,AAA,DET,2.7,10.2,49%,7.8%,3.56,204,34,-,47.0,47,6,27,14,53,0.53,5.17,1.30
237,Nolan Hoffman,27,"6' 4""",190,AAA,BAL,6.3,12.1,57%,11.3%,2.75,222,35,-,47.0,51,0,18,33,63,0.83,3.45,1.79
238,Chance Adams,30,"6' 1""",230,AAA,COL,4.0,6.9,37%,6.3%,4.03,217,38,3,47.0,58,3,29,21,36,1.30,5.55,1.68
239,Kyle McGowin,32,"6' 3""",202,AAA,CHC,4.4,7.5,-,-,5.35,214,10,10,47.0,55,8,32,23,39,1.35,6.13,1.66
240,Julian Aguiar,23,"6' 3""",180,AAA,CIN,3.1,7.9,-,-,4.39,199,9,9,47.0,43,6,23,16,41,1.21,4.40,1.26
241,Steven Cruz,25,"6' 7""",225,AAA,KC,4.1,10.4,45%,10.4%,3.55,199,42,-,46.2,39,4,17,21,54,0.74,3.28,1.29
242,Riley Martin,26,"6' 1""",215,AAA,CHC,7.5,12.7,39%,14.7%,4.63,218,33,-,46.2,41,6,28,39,66,0.97,5.40,1.71
243,Carson Spiers,26,"6' 3""",205,AAA,CIN,2.9,9.5,47%,12.8%,2.88,193,9,8,46.2,34,2,13,15,49,1.12,2.51,1.05
244,Tyler Gilbert,30,"6' 3""",223,AAA,PHI,2.3,11.8,36%,8.7%,2.31,207,34,3,46.2,54,3,25,12,61,0.63,4.82,1.41
245,Edwin Escobar,32,"6' 2""",225,AAA,CHC,6.4,9.1,40%,10.8%,5.41,206,31,-,46.1,40,7,25,33,47,1.40,4.86,1.58
246,Evan Sisk,27,"6' 2""",209,AAA,KC,4.5,13.2,54%,13.8%,1.94,189,47,-,46.1,28,0,9,23,68,0.86,1.75,1.10
247,Hobie Harris,31,"6' 3""",212,AAA,MIN,5.1,10.5,46%,15.5%,5.37,221,37,-,46.1,57,10,35,26,54,0.98,6.80,1.79
248,Troy Watson,27,"6' 2""",180,AAA,TOR,5.9,9.4,40%,8.7%,7.09,232,26,7,46.0,66,14,44,30,48,1.56,8.61,2.09
249,Michael Gomez,28,"6' 3""",210,AAA,TB,3.9,10.8,30%,12.7%,3.58,205,32,-,45.2,47,4,25,20,55,1.89,4.93,1.47
250,Andrew Alvarez,25,"6' 3""",215,AAA,WSH,3.9,5.5,-,-,4.93,200,10,10,45.2,47,5,22,20,28,0.92,4.34,1.47
251,Doug Nikhazy,25,"6' 0""",210,AAA,CLE,5.1,10.1,-,-,4.17,186,9,9,45.2,30,5,19,26,51,0.81,3.74,1.23
252,Janson Junk,28,"6' 2""",197,AAA,HOU,3.7,7.9,-,-,4.04,191,21,6,45.2,38,4,16,19,40,1.02,3.15,1.25
253,Trevor Kelley,31,"6' 2""",210,AAA,SEA,5.6,10.9,37%,11.1%,4.35,200,42,-,45.1,41,6,15,28,55,1.71,2.98,1.52
254,Kent Emanuel,32,"6' 4""",225,AAA,MIA,2.4,7.9,49%,8.8%,4.22,208,13,7,45.1,67,6,31,12,40,0.63,6.15,1.74
255,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
256,Trey McGough,26,"6' 3""",195,AAA,CWS,3.4,8.3,-,-,3.05,178,21,-,45.1,28,2,10,17,42,1.22,1.99,0.99
257,Trey Wingenter,30,"6' 7""",237,AAA,CHC,4.2,13.7,-,-,2.96,195,35,-,45.1,36,4,13,21,69,1.03,2.58,1.26
258,Lucas Luetge,37,"6' 4""",205,AAA,CHC,3.0,10.7,-,-,3.02,192,34,-,45.1,39,4,18,15,54,1.02,3.57,1.19
259,Chris Clarke,26,"6' 7""",215,AAA,CHC,3.4,6.8,44%,8.4%,4.53,198,13,11,45.0,52,5,25,17,34,0.82,5.00,1.53
260,Enmanuel Mejia,25,"5' 11""",185,AAA,TB,5.4,9.4,44%,12.5%,5.71,209,35,4,45.0,44,9,36,27,47,0.83,7.20,1.58
261,Tim Cate,26,"6' 0""",185,AAA,WSH,4.8,10.4,33%,12.0%,4.42,198,41,-,45.0,43,6,28,24,52,1.17,5.60,1.49
262,Quinn Priester,23,"6' 3""",210,AAA,BOS,2.4,9.0,-,-,2.93,184,10,10,45.0,41,3,23,12,45,0.47,4.60,1.18
263,Tyler Thomas,28,"6' 1""",175,AAA,LAA,6.0,9.1,41%,10.7%,4.78,209,31,2,44.2,45,4,27,30,45,1.02,5.44,1.68
264,Blake Walston,23,"6' 5""",175,AAA,AZ,4.4,9.3,43%,13.2%,4.65,198,10,9,44.2,45,6,22,22,46,0.95,4.43,1.50
265,José Buttó,26,"6' 1""",202,AAA,NYM,3.7,7.7,57%,13.5%,4.02,185,8,8,44.1,36,4,15,18,38,1.02,3.05,1.22
266,Prelander Berroa,24,"5' 11""",215,AAA,CWS,6.5,9.7,29%,14.4%,5.33,209,41,-,44.1,49,7,33,32,48,1.39,6.70,1.83
267,Kyle Barraclough,34,"6' 3""",229,AAA,TEX,4.9,10.2,37%,10.6%,3.59,195,22,4,44.1,37,3,20,24,50,1.70,4.06,1.38
268,Christian Montes De Oca,24,"6' 4""",230,AAA,AZ,3.3,7.8,49%,12.4%,4.61,205,37,-,44.0,54,6,28,16,38,0.75,5.73,1.59
269,Brad Keller,29,"6' 5""",255,AAA,BOS,3.7,7.0,-,-,3.25,182,11,9,44.0,38,1,18,18,34,0.54,3.68,1.27
270,Matt Koch,33,"6' 3""",215,AAA,COL,1.2,6.2,39%,8.3%,5.08,195,41,-,43.2,60,9,27,6,30,1.11,5.56,1.51
271,Luis Reyes,29,"6' 2""",175,AAA,WSH,5.2,5.6,51%,10.0%,5.17,213,32,1,43.2,55,4,33,25,27,0.68,6.80,1.83
272,Erasmo Ramírez,34,"6' 0""",220,AAA,TB,2.1,10.7,61%,12.5%,3.43,182,30,-,43.2,42,6,15,10,52,1.24,3.09,1.19
273,Spencer Howard,28,"6' 3""",210,AAA,SF,4.3,12.6,42%,14.2%,4.08,199,13,10,43.2,51,7,33,21,61,1.29,6.80,1.65
274,Brooks Wilson,28,"6' 2""",205,AAA,ATL,6.0,11.8,46%,11.8%,4.52,192,26,-,43.2,32,6,20,29,57,1.18,4.12,1.40
275,Ryan Loutos,25,"6' 5""",240,AAA,STL,4.0,10.8,50%,10.7%,3.01,188,38,-,43.1,43,3,17,19,52,1.18,3.53,1.43
276,Geoff Hartlieb,30,"6' 5""",240,AAA,COL,4.8,8.9,51%,13.3%,5.06,205,32,-,43.1,51,7,29,23,43,0.67,6.02,1.71
277,Brian Moran,35,"6' 4""",225,AAA,ATL,3.3,9.8,27%,9.9%,4.06,196,24,2,43.1,49,5,25,16,47,2.00,5.19,1.50
278,Yosver Zulueta,26,"6' 1""",190,AAA,CIN,5.4,11.1,61%,7.6%,3.29,188,30,-,43.0,36,2,13,26,53,0.39,2.72,1.44
279,Jackson Stephens,30,"6' 2""",220,AAA,ATL,3.6,9.4,37%,11.8%,3.41,186,26,1,43.0,42,3,19,17,45,0.95,3.98,1.37
280,Brett Kennedy,30,"6' 0""",200,AAA,CIN,1.9,7.1,42%,10.4%,6.01,184,10,10,43.0,50,12,37,9,34,1.02,7.74,1.37
281,Phil Bickford,29,"6' 4""",200,AAA,NYY,3.1,11.1,25%,12.0%,3.13,175,33,-,43.0,33,4,14,15,53,1.88,2.93,1.12
282,Max Castillo,25,"6' 2""",280,AAA,PHI,5.0,7.7,34%,9.1%,6.55,209,11,10,43.0,59,11,40,24,37,1.10,8.37,1.93
283,Nick Nelson,28,"6' 1""",205,AAA,PHI,5.0,7.3,40%,10.9%,5.94,202,28,5,43.0,47,8,35,24,35,1.24,7.33,1.65
284,Brad Lord,24,"6' 3""",210,AAA,WSH,2.5,8.8,-,-,3.04,182,9,9,43.0,41,2,15,12,42,1.22,3.14,1.23
285,Brandon Eisert,26,"6' 2""",205,AAA,TOR,4.2,12.0,36%,14.6%,3.91,185,33,3,42.2,42,6,20,20,57,1.06,4.22,1.45
286,Juan Hillman,27,"6' 1""",195,AAA,COL,3.8,5.5,-,-,5.93,198,14,7,42.2,54,8,29,18,26,0.54,6.12,1.69
287,Nick Hernandez,29,"6' 1""",212,AAA,HOU,4.0,12.0,-,-,3.06,176,34,-,42.2,30,3,12,19,57,2.47,2.53,1.15
288,Kevin Kopps,27,"6' 0""",200,AAA,SD,7.2,6.2,64%,12.4%,5.93,211,32,-,42.1,51,5,31,34,29,0.46,6.59,2.01
289,Rhett Kouba,24,"6' 0""",180,AAA,HOU,6.8,6.4,50%,6.6%,5.81,203,11,10,42.1,46,5,28,32,30,1.24,5.95,1.84
290,Christian Scott,25,"6' 4""",215,AAA,NYM,2.6,11.7,33%,13.7%,4.53,164,9,9,42.1,29,10,13,12,55,0.89,2.76,0.97
291,Blas Castano,25,"5' 10""",162,AAA,SEA,3.0,9.4,-,-,4.01,183,8,8,42.1,44,5,21,14,44,0.90,4.46,1.37
292,Carlos Vargas,24,"6' 4""",210,AAA,SEA,3.6,6.2,56%,11.5%,4.49,183,43,-,42.0,44,4,14,17,29,0.53,3.00,1.45
293,Gerson Moreno,28,"6' 0""",218,AAA,OAK,6.2,9.2,34%,10.2%,5.61,181,37,1,42.0,28,7,28,29,43,1.69,6.00,1.36
294,Matt Andriese,34,"6' 2""",215,AAA,MIA,3.2,6.9,45%,6.3%,3.75,189,18,1,42.0,54,3,23,15,32,1.42,4.93,1.64
295,Austin Cox,27,"6' 4""",235,AAA,KC,6.4,9.9,40%,7.6%,5.39,189,28,3,42.0,38,7,16,30,46,1.00,3.43,1.62
296,Chris Vallimont,27,"6' 5""",240,AAA,LAD,5.8,7.1,-,-,7.11,200,10,9,42.0,53,11,40,27,33,1.83,8.57,1.90
297,Ian Bedell,24,"6' 2""",214,AAA,STL,4.9,6.6,-,-,6.68,184,8,8,42.0,35,10,24,23,31,1.49,5.14,1.38
298,Lucas Luetge,37,"6' 4""",205,AAA,BOS,2.8,10.2,41%,13.5%,2.88,176,31,-,41.2,36,3,14,13,47,1.14,3.02,1.18
299,Justin Garza,30,"5' 10""",170,AAA,SF,2.6,9.1,29%,12.3%,3.90,177,27,-,41.2,42,5,16,12,42,1.33,3.46,1.30
300,Kevin Gowdy,26,"6' 4""",205,AAA,LAD,3.9,9.2,58%,15.4%,2.98,188,35,1,41.1,43,0,16,18,42,0.37,3.48,1.48
301,Brandon Hughes,28,"6' 2""",215,AAA,AZ,3.7,8.1,39%,10.3%,3.49,173,33,-,41.1,36,2,8,17,37,1.42,1.74,1.28
302,Mike Mayers,32,"6' 2""",220,AAA,TOR,4.8,10.0,28%,8.8%,4.27,194,31,3,41.1,45,4,28,22,46,2.57,6.10,1.62
303,Tyler Jay,30,"6' 1""",185,AAA,NYM,0.9,6.5,48%,7.4%,3.13,161,23,1,41.1,38,3,11,4,30,0.89,2.40,1.02
304,Bryan Shaw,36,"6' 1""",225,AAA,LAA,6.1,7.4,50%,11.1%,4.05,185,39,-,41.1,34,1,19,28,34,0.67,4.14,1.50
305,Carl Edwards Jr.,32,"6' 3""",165,AAA,SD,5.9,8.7,-,-,4.49,179,24,4,41.1,39,4,14,27,40,1.09,3.05,1.60
306,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
307,Grant Holmes,28,"6' 0""",226,AAA,ATL,3.1,11.2,52%,16.0%,3.08,168,18,3,41.0,34,4,12,14,51,0.94,2.63,1.17
308,Roddery Muñoz,24,"6' 2""",210,AAA,MIA,4.0,6.8,31%,8.7%,5.52,179,8,7,41.0,35,7,25,18,31,1.28,5.49,1.29
309,Fraser Ellard,26,"6' 4""",220,AAA,CWS,4.4,13.1,40%,14.9%,3.42,176,38,-,40.2,34,4,17,20,59,0.81,3.76,1.33
310,Matt Krook,29,"6' 4""",225,AAA,BAL,6.4,10.6,61%,9.6%,4.34,173,38,-,40.2,28,4,19,29,48,0.56,4.20,1.40
311,Justin Sterner,27,"6' 1""",215,AAA,TB,3.5,10.0,43%,13.4%,4.72,168,29,1,40.2,32,7,17,16,45,1.54,3.76,1.18
312,Evan Kravetz,27,"6' 8""",240,AAA,CIN,4.7,10.0,43%,12.4%,5.20,179,39,-,40.1,39,8,14,21,45,1.35,3.12,1.49
313,Anthony Maldonado,26,"6' 4""",220,AAA,MIA,4.5,10.0,31%,16.8%,5.20,177,28,-,40.1,40,8,23,20,45,1.69,5.13,1.49
314,Nick Wittgren,33,"6' 2""",216,AAA,MIN,2.0,7.6,29%,3.1%,5.25,179,29,-,40.1,48,9,25,9,34,1.43,5.58,1.41
315,Matt Festa,31,"6' 1""",195,AAA,TEX,2.9,10.8,-,-,2.58,168,33,-,40.0,35,2,12,13,48,1.12,2.70,1.20
316,Kevin Herget,33,"5' 10""",185,AAA,MIL,2.0,11.8,41%,13.1%,1.72,153,31,-,39.2,29,1,10,9,52,1.35,2.27,0.96
317,Jesse Hahn,35,"6' 5""",205,AAA,LAD,7.3,9.5,56%,5.2%,4.55,175,33,2,39.2,30,2,21,32,42,0.50,4.76,1.56
318,Tyler Danish,29,"6' 0""",200,AAA,COL,7.0,5.9,38%,6.6%,5.73,206,11,10,39.2,61,4,34,31,26,1.26,7.71,2.32
319,Austin Schulfer,28,"6' 2""",175,AAA,DET,4.3,9.8,-,-,5.01,173,25,-,39.2,38,7,23,19,43,0.71,5.22,1.44
320,Josh Maciejewski,29,"6' 3""",210,AAA,NYY,3.9,8.7,46%,13.0%,3.97,169,14,7,39.1,34,4,17,17,38,0.88,3.89,1.30
321,Luis Cessa,32,"6' 0""",222,AAA,KC,3.7,6.6,47%,10.0%,4.94,173,11,10,39.1,44,6,17,16,29,1.10,3.89,1.53
322,DJ Herz,23,"6' 2""",197,AAA,WSH,7.3,10.1,33%,11.7%,4.40,168,10,10,39.1,24,3,17,32,44,1.83,3.89,1.42
323,Shane Baz,25,"6' 2""",190,AAA,TB,5.3,10.1,34%,10.3%,3.61,178,10,10,39.1,39,2,18,23,44,1.76,4.12,1.58
324,John Curtiss,31,"6' 5""",220,AAA,COL,2.8,6.9,33%,9.5%,4.00,167,34,-,39.0,40,4,18,12,30,1.90,4.15,1.33
325,Brent Honeywell,29,"6' 2""",195,AAA,PIT,3.9,7.6,40%,12.2%,4.38,168,31,-,39.0,36,4,21,17,33,1.11,4.85,1.36
326,Blake Taylor,29,"6' 3""",220,AAA,TEX,6.0,9.2,46%,9.6%,4.89,182,32,-,39.0,43,5,18,26,40,1.12,4.15,1.77
327,Anthony Gose,34,"6' 0""",200,AAA,CLE,5.8,12.7,28%,19.6%,4.05,167,36,-,39.0,28,5,15,25,55,1.23,3.46,1.36
328,Daulton Jefferies,29,"6' 0""",182,AAA,PIT,3.5,6.7,39%,9.1%,4.35,169,9,7,39.0,40,4,21,15,29,1.22,4.85,1.41
329,Sammy Peralta,26,"6' 2""",215,AAA,CWS,4.2,8.5,-,-,4.41,160,31,-,39.0,28,4,17,18,37,0.85,3.92,1.18
