Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Dane Dunning,29,"6' 4""",225,AAA,TEX,3.0,9.0,-,-,2.2,11,1,-,3.0,0,0,0,1,3,0.75,0.0,0.33
Devin Williams,29,"6' 2""",193,AAA,MIL,6.0,9.0,-,-,3.2,12,3,-,3.0,1,0,0,2,3,2.0,0.0,1.0
Bailey Falter,27,"6' 4""",205,AAA,PIT,0.0,9.0,-,-,1.2,13,1,1,3.0,5,0,2,0,3,4.0,6.0,1.67
Emilio Pagán,33,"6' 2""",208,AAA,CIN,0.0,9.0,-,-,1.2,11,3,-,3.0,2,0,2,0,3,1.0,6.0,0.67
Bryan Hudson,27,"6' 8""",220,AAA,MIL,6.0,9.0,-,-,3.2,14,3,-,3.0,4,0,1,2,3,1.5,3.0,2.0
Dylan Lee,30,"6' 3""",214,AAA,ATL,0.0,12.0,-,-,0.53,10,2,-,3.0,1,0,0,0,4,0.67,0.0,0.33
Mason Adams,24,"6' 0""",200,AAA,CWS,15.0,3.0,-,-,7.53,17,1,1,3.0,3,0,3,5,1,0.6,9.0,2.67
Jacob Wallace,26,"6' 1""",190,AAA,KC,0.0,10.1,63%,15.4%,0.47,11,3,-,2.2,2,0,2,0,3,0.2,6.75,0.75
Chris Kachmar,27,"6' 3""",180,AAA,CHC,20.3,3.4,18%,6.1%,10.47,18,2,1,2.2,4,0,4,6,1,0.0,13.5,3.75
Yohel Pozo,27,"5' 11""",201,AAA,OAK,10.1,3.4,0%,3.3%,12.29,16,3,-,2.2,5,1,5,3,1,2.5,16.88,3.0
Deury Carrasco,24,"6' 0""",200,AAA,HOU,10.1,3.4,80%,2.0%,7.75,15,1,-,2.2,5,0,3,3,1,0.0,10.13,3.0
Scott Alexander,35,"6' 2""",195,AAA,OAK,3.4,16.9,83%,10.9%,2.75,16,4,-,2.2,4,0,4,1,5,0.0,13.5,1.88
Colin Poche,30,"6' 3""",225,AAA,TB,3.4,3.4,-,-,3.66,12,3,-,2.2,3,0,2,1,1,1.33,6.75,1.5
Jorge López,31,"6' 3""",200,AAA,CHC,3.4,3.4,-,-,3.66,12,3,-,2.2,3,0,0,1,1,0.17,0.0,1.5
Rob Brantly,35,"6' 1""",190,AAA,TB,6.8,3.4,-,-,16.84,13,3,-,2.2,3,2,3,2,1,0.0,10.13,1.88
Anderson Pilar,26,"6' 2""",210,AAA,MIA,10.1,13.5,67%,13.2%,16.84,15,2,-,2.2,3,2,5,3,4,0.33,16.88,2.25
Joey Gerber,27,"6' 4""",212,AAA,NYY,6.8,3.4,-,-,10.93,19,3,-,2.2,8,1,4,2,1,0.75,13.5,3.75
Ryan Feltner,27,"6' 4""",190,AAA,COL,6.8,10.1,-,-,3.2,15,1,1,2.2,4,0,3,2,3,0.5,10.13,2.25
Brent Suter,34,"6' 4""",213,AAA,CIN,0.0,6.8,-,-,1.38,12,2,-,2.2,6,0,1,0,2,1.0,3.38,2.25
Ty Adcock,27,"6' 0""",213,AAA,SEA,11.6,7.7,39%,13.4%,5.58,12,3,-,2.1,2,0,2,3,2,1.5,7.71,2.14
Alex Speas,26,"6' 3""",205,AAA,CWS,7.7,7.7,30%,15.4%,10.34,11,2,-,2.1,2,1,4,2,2,1.5,15.43,1.71
Austin Brice,32,"6' 4""",238,AAA,PHI,11.6,7.7,17%,2.3%,5.58,11,2,-,2.1,3,0,2,3,2,2.0,7.71,2.57
Jose Ramirez,23,"6' 0""",142,AAA,CWS,11.6,7.7,50%,1.6%,14.63,13,1,1,2.1,3,1,4,3,2,0.5,15.43,2.57
Jimmy Robbins,26,"6' 3""",190,AAA,TOR,7.7,11.6,-,-,9.39,10,2,-,2.1,2,1,2,2,3,2.0,7.71,1.71
Damian Mendoza,23,"6' 1""",175,AAA,TEX,7.7,3.9,25%,5.3%,5.11,11,1,-,2.1,3,0,0,2,1,1.5,0.0,2.14
Cionel Pérez,28,"6' 0""",175,AAA,BAL,3.9,3.9,38%,17.6%,3.68,10,2,-,2.1,3,0,1,1,1,1.5,3.86,1.71
Troy Miller,27,"6' 4""",210,AAA,NYM,15.4,11.6,27%,9.7%,24.63,18,1,1,2.1,7,3,7,4,3,3.0,27.0,4.71
Shelby Miller,33,"6' 3""",225,AAA,DET,3.9,11.6,-,-,1.77,10,2,1,2.1,2,0,0,1,3,0.33,0.0,1.29
Eric Yang,26,"5' 11""",185,AAA,CIN,3.9,0.0,-,-,6.06,10,3,-,2.1,1,0,0,1,0,0.0,0.0,0.86
Michael Darrell-Hicks,26,"6' 5""",220,AAA,LAA,11.6,19.3,50%,10.5%,4.15,14,3,-,2.1,3,0,5,3,5,1.0,19.29,2.57
Orion Kerkering,23,"6' 2""",204,AAA,PHI,0.0,13.5,40%,23.1%,1.7,9,2,-,2.0,2,0,0,0,3,2.0,0.0,1.0
Colin Selby,26,"6' 2""",220,AAA,PIT,13.5,9.0,100%,8.8%,5.7,10,2,-,2.0,1,0,0,3,2,0.0,0.0,2.0
Nick Ramirez,35,"6' 4""",232,AAA,NYY,0.0,9.0,77%,19.4%,1.2,8,1,-,2.0,3,0,1,0,2,0.5,4.5,1.5
Hunter Strickland,35,"6' 3""",225,AAA,LAA,4.5,9.0,38%,13.6%,2.7,11,2,-,2.0,4,0,3,1,2,1.0,13.5,2.5
Emailin Montilla,28,"6' 3""",255,AAA,AZ,9.0,4.5,-,-,6.7,11,2,-,2.0,2,0,4,2,1,1.5,18.0,2.0
Manuel Veloz,23,"6' 2""",185,AAA,CWS,13.5,13.5,50%,10.3%,4.7,14,1,-,2.0,6,0,3,3,3,1.0,13.5,4.5
Jeffrey Colon,24,"6' 1""",170,AAA,NYM,27.0,9.0,40%,5.7%,11.7,17,2,-,2.0,4,0,5,6,2,0.33,22.5,5.0
Aaron Hernandez,27,"6' 1""",170,AAA,LAA,13.5,9.0,50%,9.3%,5.7,11,2,-,2.0,2,0,2,3,2,0.33,9.0,2.5
Kohl Franklin,24,"6' 4""",195,AAA,CHC,0.0,4.5,57%,12.8%,2.2,8,1,1,2.0,2,0,0,0,1,0.67,0.0,1.0
Trevor Megill,30,"6' 8""",255,AAA,MIL,9.0,13.5,50%,17.5%,3.2,9,2,-,2.0,1,0,0,2,3,2.0,0.0,1.5
Dylan Spain,26,"6' 6""",205,AAA,COL,4.5,4.5,25%,0.0%,10.2,10,1,-,2.0,3,1,4,1,1,4.0,18.0,2.0
Carlos Pérez,33,"5' 11""",210,AAA,OAK,4.5,4.5,50%,4.0%,10.2,10,2,-,2.0,3,1,1,1,1,4.0,4.5,2.0
Tanner Myatt,26,"6' 7""",245,AAA,NYY,4.5,0.0,25%,0.0%,4.7,10,1,-,2.0,4,0,3,1,0,1.5,13.5,2.5
Nick Kahle,26,"5' 9""",210,AAA,MIL,0.0,0.0,50%,0.0%,3.2,6,2,-,2.0,0,0,0,0,0,1.0,0.0,0.0
Jhoan Duran,26,"6' 5""",230,AAA,MIN,0.0,22.5,60%,23.8%,0.0,10,2,-,2.0,4,0,2,0,5,0.0,9.0,2.0
Pete Fairbanks,30,"6' 6""",225,AAA,TB,0.0,9.0,40%,19.2%,1.2,7,2,-,2.0,2,0,0,0,2,2.0,0.0,1.0
Jose Rojas,31,"5' 10""",200,AAA,NYY,9.0,0.0,20%,0.0%,12.7,12,2,-,2.0,4,1,3,2,0,0.0,13.5,3.0
Andre Scrubb,29,"6' 4""",270,AAA,NYM,13.5,0.0,60%,5.6%,7.7,8,1,-,2.0,2,0,2,3,0,0.5,9.0,2.5
Sandy León,35,"5' 9""",235,AAA,ATL,0.0,0.0,67%,18.2%,9.7,8,2,-,2.0,1,1,1,0,0,0.75,4.5,0.5
A.J. Minter,30,"6' 0""",215,AAA,ATL,9.0,0.0,-,-,6.2,7,2,-,2.0,0,0,1,2,0,0.25,4.5,1.0
Carlos Pérez,27,"5' 10""",210,AAA,CWS,4.5,0.0,-,-,4.7,8,1,-,2.0,1,0,0,1,0,1.0,0.0,1.0
Anthony Prato,26,"5' 9""",186,AAA,MIN,0.0,4.5,-,-,2.2,12,1,-,2.0,5,0,0,0,1,5.0,0.0,2.5
Burch Smith,34,"6' 4""",225,AAA,BAL,0.0,9.0,-,-,1.2,7,2,-,2.0,1,0,0,0,2,0.33,0.0,0.5
Jarrett Gonzales,26,"5' 9""",185,AAA,WSH,9.0,0.0,-,-,6.2,10,1,-,2.0,2,0,1,2,0,1.0,4.5,2.0
John Murphy,27,"6' 4""",245,AAA,CIN,9.0,4.5,-,-,11.7,9,2,-,2.0,2,1,2,2,1,3.0,9.0,2.0
José Cruz,24,"6' 1""",178,AAA,SF,13.5,18.0,-,-,3.7,9,2,-,2.0,0,0,0,3,4,1.0,0.0,1.5
Peter Serruto,24,"5' 11""",195,AAA,NYY,0.0,0.0,-,-,3.2,7,2,-,2.0,2,0,0,0,0,0.67,0.0,1.0
Anthony Hoopii-Tuionetoa,24,"6' 2""",190,AAA,CWS,0.0,9.0,-,-,1.2,7,2,-,2.0,1,0,1,0,2,0.0,4.5,0.5
Jordan Weems,31,"6' 4""",211,AAA,WSH,9.0,4.5,-,-,11.7,10,2,-,2.0,2,1,2,2,1,4.0,9.0,2.0
Rich Hill,44,"6' 5""",220,AAA,BOS,4.5,9.0,-,-,4.2,7,1,1,2.0,0,0,0,1,2,0.0,0.0,0.5
Elvis Peguero,27,"6' 5""",241,AAA,MIL,0.0,4.5,-,-,3.7,7,2,-,2.0,1,0,0,0,1,0.0,0.0,0.5
Brennan Bernardino,32,"6' 4""",180,AAA,BOS,5.4,10.8,50%,5.1%,15.7,10,2,-,1.2,3,1,3,1,2,0.0,16.2,2.4
Brendan White,25,"5' 11""",185,AAA,DET,32.4,5.4,40%,10.2%,19.03,13,3,-,1.2,1,0,4,6,1,3.0,21.6,4.2
Bernie Martinez,27,"6' 0""",195,AAA,SEA,10.8,10.8,0%,13.3%,4.87,6,1,-,1.2,0,0,0,2,2,0.0,0.0,1.2
Cody Scroggins,28,"6' 0""",195,AAA,BOS,16.2,10.8,33%,4.9%,20.7,15,2,-,1.2,6,1,7,3,2,0.5,37.8,5.4
Diego Barrera,24,"6' 0""",165,AAA,OAK,5.4,5.4,43%,5.0%,4.03,9,1,1,1.2,3,0,3,1,1,1.0,16.2,2.4
Cooper Hummel,29,"5' 9""",198,AAA,HOU,16.2,0.0,23%,0.0%,32.37,16,2,-,1.2,8,2,9,3,0,4.0,48.6,6.6
Trent Sellers,24,"6' 1""",200,AAA,NYY,16.2,10.8,75%,2.2%,7.37,9,1,-,1.2,1,0,2,3,2,0.5,10.8,2.4
Ben Shields,25,"6' 4""",210,AAA,NYY,10.8,5.4,46%,11.8%,22.37,17,1,1,1.2,8,1,7,2,1,1.0,37.8,6.0
Luis F. Ortiz,28,"6' 3""",230,AAA,PHI,5.4,0.0,-,-,19.03,8,1,-,1.2,1,1,2,1,0,1.5,10.8,1.2
Cam Schlittler,23,"6' 6""",210,AAA,NYY,21.6,16.2,-,-,15.7,13,1,1,1.2,1,0,4,4,3,1.0,21.6,3.0
Yimi García,34,"6' 1""",230,AAA,TOR,5.4,10.8,-,-,2.37,7,2,-,1.2,2,0,2,1,2,1.0,10.8,1.8
Joe Kelly,36,"6' 1""",174,AAA,LAD,27.0,10.8,-,-,12.37,10,3,-,1.2,1,0,4,5,2,1.0,21.6,3.6
Ivan Oviedo,21,"6' 2""",175,AAA,TEX,21.6,10.8,-,-,9.87,9,1,-,1.2,1,0,0,4,2,1.0,0.0,3.0
Max Roberts,27,"6' 6""",190,AAA,CWS,10.8,10.8,-,-,4.87,8,1,-,1.2,1,0,0,2,2,2.0,0.0,1.8
Dennis Santana,28,"6' 2""",190,AAA,NYY,20.3,13.5,60%,20.4%,7.75,10,2,-,1.1,3,0,1,3,2,1.0,6.75,4.5
Reagan Todd,28,"6' 3""",218,AAA,COL,13.5,6.8,50%,16.7%,6.84,8,2,-,1.1,1,0,2,2,1,1.0,13.5,2.25
Luke Berryhill,26,"6' 0""",227,AAA,HOU,20.3,0.0,50%,0.0%,11.38,7,1,-,1.1,1,0,2,3,0,2.0,13.5,3.0
Ryan Higgins,24,"6' 0""",200,AAA,BAL,6.8,6.8,-,-,18.66,9,1,-,1.1,3,1,3,1,1,0.0,20.25,3.0
Ian Mejia,24,"6' 3""",205,AAA,ATL,20.3,6.8,25%,10.5%,33.2,12,1,1,1.1,5,2,5,3,1,2.0,33.75,6.0
Victor Castaneda,26,"6' 1""",185,AAA,NYM,27.0,0.0,-,-,14.11,13,1,-,1.1,5,0,5,4,0,3.0,33.75,6.75
Adam Cimber,34,"6' 3""",195,AAA,LAA,13.5,13.5,-,-,5.02,9,2,-,1.1,2,0,0,2,2,0.5,0.0,3.0
Josh Simpson,27,"6' 2""",190,AAA,MIA,6.8,6.8,-,-,6.84,9,2,-,1.1,3,0,1,1,1,0.5,6.75,3.0
Lincoln Henzman,29,"6' 2""",205,AAA,MIA,18.0,9.0,100%,5.9%,7.2,7,1,-,1.0,1,0,0,2,1,0.0,0.0,3.0
Pedro Garcia,29,"5' 11""",220,AAA,CIN,27.0,9.0,0%,9.5%,23.2,8,1,-,1.0,2,1,3,3,1,0.0,27.0,5.0
Jordan Romano,31,"6' 5""",210,AAA,TOR,36.0,9.0,33%,2.8%,13.2,8,2,-,1.0,1,0,0,4,1,1.0,0.0,5.0
Tyler Chatwood,34,"5' 11""",200,AAA,AZ,27.0,0.0,67%,0.0%,15.2,10,2,-,1.0,3,0,5,3,0,2.0,45.0,6.0
Ryan Casteel,33,"5' 11""",205,AAA,ATL,18.0,0.0,13%,0.0%,9.2,10,1,-,1.0,5,0,5,2,0,2.0,45.0,7.0
Noelberth Romero,22,"6' 0""",183,AAA,BAL,0.0,0.0,40%,0.0%,16.2,5,1,-,1.0,2,1,2,0,0,0.5,18.0,2.0
John Brebbia,34,"6' 1""",205,AAA,CWS,0.0,18.0,50%,27.8%,0.0,4,1,1,1.0,1,0,0,0,2,0.0,0.0,1.0
Anthony Vizcaya,30,"6' 0""",220,AAA,ATL,18.0,0.0,20%,6.5%,9.2,7,1,-,1.0,2,0,1,2,0,0.0,9.0,4.0
Cody Roberts,28,"6' 0""",195,AAA,PHI,0.0,0.0,67%,0.0%,3.2,3,1,-,1.0,0,0,0,0,0,0.5,0.0,0.0
A.J. Puk,29,"6' 7""",248,AAA,MIA,0.0,27.0,0%,33.3%,0.0,3,1,-,1.0,0,0,0,0,3,0.0,0.0,0.0
Tayler Saucedo,31,"6' 4""",205,AAA,SEA,0.0,9.0,100%,10.0%,1.2,3,1,-,1.0,0,0,0,0,1,0.0,0.0,0.0
Phillip Evans,31,"5' 9""",210,AAA,ATL,0.0,9.0,80%,15.4%,14.2,6,1,-,1.0,3,1,2,0,1,0.0,18.0,3.0
Luis Torrens,28,"5' 11""",217,AAA,NYY,27.0,0.0,-,-,12.2,6,1,-,1.0,0,0,0,3,0,0.0,0.0,3.0
Austin Wynns,33,"6' 0""",190,AAA,CIN,27.0,0.0,-,-,12.2,7,1,-,1.0,1,0,2,3,0,2.0,18.0,4.0
Bryson Brigman,29,"5' 10""",180,AAA,AZ,0.0,0.0,-,-,16.2,6,1,-,1.0,3,1,3,0,0,2.0,27.0,3.0
Chris Martin,38,"6' 8""",224,AAA,BOS,9.0,0.0,-,-,6.2,4,1,-,1.0,0,0,0,1,0,0.5,0.0,1.0
Cameron Cotter,25,"6' 3""",220,AAA,SF,27.0,9.0,-,-,10.2,7,1,-,1.0,1,0,1,3,1,1.0,9.0,4.0
José Godoy,29,"5' 9""",200,AAA,PHI,0.0,0.0,-,-,3.2,4,1,-,1.0,1,0,0,0,0,0.5,0.0,1.0
Yonny Hernández,26,"5' 7""",140,AAA,MIL,0.0,9.0,-,-,1.2,5,1,-,1.0,2,0,0,0,1,0.0,0.0,2.0
Nick Sandlin,27,"5' 11""",175,AAA,CLE,9.0,0.0,-,-,6.2,4,1,-,1.0,0,0,0,1,0,0.0,0.0,1.0
Gregory Santos,24,"6' 2""",190,AAA,SEA,0.0,9.0,-,-,1.2,4,1,-,1.0,1,0,0,0,1,0.0,0.0,1.0
Diego A. Castillo,26,"5' 11""",185,AAA,MIN,18.0,0.0,-,-,22.2,7,1,-,1.0,2,1,4,2,0,2.0,36.0,4.0
John Stankiewicz,25,"6' 4""",230,AAA,MIN,0.0,9.0,-,-,1.2,3,1,-,1.0,0,0,0,0,1,1.0,0.0,0.0
Sean Hunley,25,"6' 4""",220,AAA,TB,9.0,0.0,-,-,9.2,6,1,-,1.0,2,0,1,1,0,0.0,9.0,3.0
Erick Mejia,29,"6' 0""",195,AAA,WSH,9.0,9.0,-,-,4.2,5,1,-,1.0,1,0,0,1,1,1.0,0.0,2.0
Adbert Alzolay,29,"6' 1""",208,AAA,CHC,18.0,9.0,-,-,7.2,6,1,-,1.0,2,0,2,2,1,0.0,18.0,4.0
Trey McLoughlin,25,"6' 2""",210,AAA,NYM,0.0,18.0,-,-,0.0,4,1,-,1.0,1,0,0,0,2,0.0,0.0,1.0
Jawilme Ramirez,22,"6' 2""",170,AAA,NYM,9.0,18.0,-,-,2.2,5,1,-,1.0,1,0,0,1,2,0.0,0.0,2.0
Gabriel Sequeira,27,"6' 0""",200,AAA,DET,18.0,18.0,0%,17.6%,14.2,11,1,-,1.0,3,0,5,2,2,0.0,45.0,5.0
Matt Whatley,28,"5' 8""",200,AAA,TEX,0.0,0.0,-,-,3.2,4,1,-,1.0,1,0,0,0,0,0.0,0.0,1.0
Logan Warmoth,28,"5' 11""",195,AAA,SEA,9.0,0.0,-,-,6.2,6,1,-,1.0,2,0,1,1,0,2.0,9.0,3.0
Liam Hendriks,35,"6' 0""",235,AAA,BOS,0.0,0.0,-,-,3.2,3,1,-,1.0,0,0,0,0,0,0.5,0.0,0.0
Luis Peralta,23,"5' 11""",170,AAA,COL,9.0,9.0,-,-,4.2,4,1,-,1.0,0,0,0,1,1,1.0,0.0,1.0
Jake Alu,27,"5' 10""",195,AAA,WSH,18.0,0.0,-,-,22.2,8,1,-,1.0,3,1,3,2,0,0.0,27.0,5.0
Drew Conover,23,"6' 5""",185,AAA,OAK,45.0,9.0,-,-,16.2,12,1,-,1.0,5,0,6,5,1,0.0,54.0,10.0
Matthew Thompson,24,"6' 3""",195,AAA,CHC,99.9,99.9,0%,6.3%,38.2,5,1,-,0.2,0,0,2,3,1,0.0,27.0,4.5
Cal Stevenson,27,"5' 9""",175,AAA,PHI,0.0,0.0,0%,5.3%,68.2,4,1,-,0.2,2,1,2,0,0,0.0,27.0,3.0
McKinley Moore,26,"6' 6""",225,AAA,NYY,99.9,99.9,0%,2.0%,98.2,9,2,-,0.2,0,0,2,6,1,0.0,27.0,9.0
Paul Sewald,34,"6' 3""",219,AAA,AZ,99.9,99.9,0%,14.3%,0.0,5,1,-,0.2,2,0,0,1,2,0.0,0.0,4.5
Caleb Knight,28,"5' 10""",220,AAA,CHC,0.0,0.0,50%,0.0%,3.2,2,1,-,0.2,0,0,0,0,0,1.0,0.0,0.0
Wynton Bernard,33,"6' 0""",195,AAA,CWS,99.9,0.0,-,-,18.2,4,1,-,0.2,1,0,0,1,0,1.0,0.0,3.0
Jason Vosler,30,"6' 0""",220,AAA,SEA,0.0,0.0,-,-,3.2,4,1,-,0.2,2,0,0,0,0,1.0,0.0,3.0
Germán Márquez,29,"6' 1""",230,AAA,COL,99.9,99.9,-,-,73.2,7,1,1,0.2,4,1,4,1,1,0.0,54.0,7.5
Matt O'Neill,27,"5' 10""",205,AAA,NYM,0.0,0.0,100%,0.0%,3.2,1,1,-,0.1,0,0,0,0,0,0.0,0.0,0.0
Esteban Quiroz,32,"5' 5""",199,AAA,PHI,99.9,0.0,22%,0.0%,293.2,10,1,-,0.1,8,2,9,1,0,0.0,243.0,27.0
C.J. Hinojosa,30,"5' 8""",185,AAA,TB,99.9,99.9,0%,0.0%,73.2,5,1,-,0.1,1,0,3,1,1,0.0,81.0,6.0
Lorenzo Cedrola,26,"5' 8""",152,AAA,CLE,99.9,0.0,0%,0.0%,123.2,5,1,-,0.1,0,0,1,3,0,0.0,27.0,9.0
Eddy Alvarez,34,"5' 8""",178,AAA,BOS,0.0,0.0,0%,0.0%,3.2,1,1,-,0.1,0,0,0,0,0,0.0,0.0,0.0
Bligh Madris,28,"6' 0""",208,AAA,DET,0.0,0.0,0%,0.0%,3.2,1,1,-,0.1,0,0,0,0,0,0.0,0.0,0.0
Brenden Dixon,23,"5' 11""",205,AAA,PIT,99.9,0.0,-,-,193.2,4,1,-,0.1,1,1,3,2,0,0.0,81.0,9.0
Justin Lawrence,29,"6' 3""",213,AAA,COL,99.9,0.0,-,-,33.2,5,1,-,0.1,3,0,2,1,0,0.0,54.0,12.0
Gabriel Cancel,27,"6' 0""",205,AAA,TOR,0.0,0.0,-,-,3.2,2,1,-,0.1,1,0,0,0,0,0.0,0.0,3.0
Chris Williams,27,"6' 0""",225,AAA,MIN,99.9,0.0,-,-,33.2,3,1,-,0.1,1,0,2,1,0,0.0,54.0,6.0
Drew Maggi,35,"5' 11""",192,AAA,DET,0.0,0.0,-,-,3.2,1,1,-,0.1,0,0,0,0,0,0.0,0.0,0.0
Darius Hill,27,"6' 0""",190,AAA,CHC,0.0,0.0,-,-,3.2,2,1,-,0.1,1,0,0,0,0,0.0,0.0,3.0
