Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Rhett Lowder,22,"6' 2""",200,AAA,CIN,0.0,10.5,-,-,1.37,21,1,1,6.0,3,0,0,0,7,0.25,0.0,0.5
Colin Holderman,28,"6' 4""",230,AAA,PIT,3.2,9.5,50%,24.1%,5.7,24,6,-,5.2,5,1,5,2,6,0.8,7.94,1.24
Luis Moreno,25,"5' 8""",170,AAA,NYM,9.5,11.1,63%,5.8%,4.55,30,2,2,5.2,6,0,9,6,7,0.43,14.29,2.12
Juan Then,24,"6' 1""",200,AAA,CWS,11.1,7.9,55%,4.5%,15.89,32,7,-,5.2,8,4,10,7,5,0.57,15.88,2.65
Brusdar Graterol,26,"6' 1""",265,AAA,LAD,1.6,9.5,-,-,1.47,29,6,-,5.2,9,0,4,1,6,0.44,6.35,1.76
Camilo Doval,27,"6' 2""",185,AAA,SF,1.6,11.1,-,-,1.09,20,5,-,5.2,2,0,2,1,7,1.0,3.18,0.53
Zach Brzykcy,25,"6' 2""",208,AAA,WSH,0.0,11.1,-,-,3.01,18,5,-,5.2,2,1,1,0,7,0.5,1.59,0.35
John King,29,"6' 2""",215,AAA,STL,0.0,8.4,65%,15.9%,3.79,22,6,-,5.1,6,1,2,0,5,0.38,3.38,1.13
Billy Sullivan,25,"6' 2""",195,AAA,OAK,16.9,6.8,61%,7.3%,9.28,36,6,-,5.1,6,0,7,10,4,0.3,11.81,3.0
Jake Odorizzi,34,"6' 2""",190,AAA,TB,8.4,3.4,45%,9.0%,9.08,29,2,2,5.1,8,1,7,5,2,0.71,11.81,2.44
Patrick Halligan,24,"6' 6""",230,AAA,ATL,13.5,8.4,56%,8.3%,5.95,29,4,1,5.1,5,0,4,8,5,0.83,6.75,2.44
Jack Anderson,24,"6' 3""",197,AAA,DET,3.4,1.7,-,-,3.98,19,2,-,5.1,1,0,0,2,1,1.33,0.0,0.56
Jordan Leasure,26,"6' 3""",220,AAA,CWS,3.4,10.1,-,-,2.61,21,6,-,5.1,4,0,3,2,6,0.33,5.06,1.13
Abdiel Mendoza,25,"5' 10""",160,AAA,TOR,8.4,8.4,-,-,9.87,26,3,-,5.1,3,2,3,5,5,0.5,5.06,1.5
Corey Knebel,32,"6' 3""",225,AAA,CWS,3.4,13.5,-,-,1.24,18,6,-,5.1,0,0,0,2,8,1.67,0.0,0.38
Craig Yoho,24,"6' 3""",225,AAA,MIL,1.7,15.2,-,-,0.26,20,5,-,5.1,3,0,0,1,9,1.33,0.0,0.75
Jay Groome,26,"6' 6""",262,AAA,SD,9.0,9.0,9%,13.8%,7.4,22,3,3,5.0,1,1,2,5,5,9.0,3.6,1.2
Wilking Rodríguez,34,"6' 1""",225,AAA,STL,14.4,14.4,100%,9.8%,4.8,27,6,-,5.0,4,0,4,8,8,2.5,7.2,2.4
J.B. Bukauskas,27,"6' 0""",208,AAA,MIL,0.0,5.4,100%,22.2%,2.6,19,6,-,5.0,4,0,1,0,3,0.38,1.8,0.8
Kolton Ingram,27,"5' 9""",170,AAA,NYM,10.8,5.4,50%,12.5%,9.4,27,4,-,5.0,5,1,4,6,3,1.2,7.2,2.2
Walker Powell,28,"6' 8""",210,AAA,CHC,9.0,9.0,33%,8.2%,4.8,29,2,2,5.0,8,0,3,5,5,1.5,5.4,2.6
Danny Mendick,30,"5' 10""",195,AAA,CWS,5.4,1.8,44%,4.2%,9.8,27,4,-,5.0,10,2,6,3,1,1.17,10.8,2.6
Shawn Dubin,28,"6' 0""",164,AAA,HOU,1.8,7.2,57%,12.0%,2.2,16,4,-,5.0,2,0,0,1,4,0.29,0.0,0.6
Connor Brogdon,29,"6' 6""",205,AAA,LAD,1.8,10.8,33%,17.6%,4.0,19,5,-,5.0,4,1,2,1,6,1.67,3.6,1.0
Juan Zapata,25,"6' 1""",198,AAA,CLE,7.2,3.6,13%,6.3%,7.4,22,2,-,5.0,3,1,1,4,2,1.6,1.8,1.4
Cody Sedlock,29,"6' 4""",220,AAA,CWS,23.4,3.6,0%,0.0%,13.4,30,6,-,5.0,3,1,10,13,2,1.75,18.0,3.2
Sean Newcomb,31,"6' 5""",255,AAA,OAK,7.2,7.2,60%,19.0%,4.0,23,3,-,5.0,6,0,2,4,4,0.29,3.6,2.0
Wil Jensen,26,"6' 4""",180,AAA,SF,10.8,12.6,-,-,4.0,28,3,-,5.0,8,0,5,6,7,1.33,9.0,2.8
Martín Pérez,33,"6' 0""",200,AAA,PIT,0.0,7.2,-,-,1.6,19,1,1,5.0,5,0,1,0,4,0.43,1.8,1.0
Alex Cobb,36,"6' 3""",205,AAA,SF,1.8,7.2,-,-,2.2,17,1,1,5.0,2,0,0,1,4,0.25,0.0,0.6
