Player,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (�),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Age,G,R,RBI,SB,CS,OPS,TB,GDP,HBP,SH,SF,IBB
"Hudson, Joe",88,71,42,18,11,3,0,4,29,33.0,13,14.8,43,151,0.254,0.196,0.398,0.351,0.465,0.359,0.38,0.324,4,0.368,0.211,28.5,91.7,91.7,17,160,40.5,9.5,4.5,33.0,26,12,10,4,0,0.869,33,0,4,0,0,0
"Iglesias, Jose",174,165,137,45,31,7,0,7,29,16.7,8,4.6,72,333,0.273,0.258,0.305,0.293,0.442,0.383,0.321,0.294,6,0.292,0.17,21.6,85.4,91.2,8,146,34.3,4.4,3.4,34.0,42,26,29,1,0,0.751,73,4,0,0,1,0
"Kohlwey, Taylor",37,34,21,3,2,1,0,0,13,35.1,3,8.1,18,72,0.088,0.114,0.162,0.186,0.118,0.133,0.137,0.155,0,0.143,0.029,25.0,80.1,90.9,23,121,4.8,0.0,0.0,29.0,11,3,2,0,0,0.28,4,0,0,0,0,0
"Marte, Starling",12,11,12,2,1,1,0,0,0,0.0,0,0.0,4,22,0.182,0.292,0.167,0.301,0.273,0.348,0.178,0.287,0,0.167,0.091,18.2,88.1,92.6,-4,95,33.3,0.0,0.0,35.0,3,1,1,0,0,0.439,3,1,0,0,1,0
"Martinez, J.D.",8,8,7,3,2,1,0,0,1,12.5,0,0.0,2,16,0.375,0.361,0.375,0.361,0.5,0.508,0.377,0.371,1,0.429,0.125,12.5,96.1,93.2,9,177,71.4,14.3,12.5,36.0,2,1,3,0,0,0.875,4,0,0,0,0,0
"Nido, Tom�s",29,29,23,10,7,2,0,1,6,20.7,0,0.0,14,55,0.345,0.279,0.345,0.279,0.517,0.549,0.37,0.349,3,0.409,0.172,25.5,90.7,92.2,15,147,47.8,13.0,10.3,30.0,9,3,2,0,0,0.862,15,0,0,1,0,0
"O'Neill, Matt",57,49,28,8,4,3,0,1,22,38.6,7,12.3,46,104,0.163,0.124,0.263,0.233,0.286,0.224,0.248,0.217,1,0.259,0.122,44.2,88.8,90.7,14,152,39.3,3.6,1.8,26.0,21,10,5,0,0,0.539,14,2,0,1,1,0
"Porter, Logan",44,37,21,6,4,1,0,1,16,36.4,5,11.4,37,85,0.162,0.166,0.295,0.298,0.27,0.263,0.266,0.265,1,0.25,0.108,43.5,83.8,90.1,11,150,19.0,4.8,2.3,28.0,12,3,5,0,0,0.557,9,2,2,0,0,0
"Reyes, Pablo",214,187,156,52,36,6,2,8,33,15.4,25,11.7,61,363,0.278,0.271,0.36,0.356,0.46,0.415,0.355,0.34,7,0.297,0.182,16.8,88.1,91.4,15,161,37.2,4.5,3.3,30.0,54,37,34,9,2,0.854,92,3,0,2,2,0
"Ritter, Luke",452,381,248,100,55,20,2,23,134,29.6,58,12.8,278,803,0.262,0.244,0.376,0.361,0.507,0.468,0.381,0.361,37,0.342,0.244,34.6,90.8,92.1,10,153,47.2,14.9,8.2,27.0,108,64,81,3,1,0.882,194,18,12,0,1,0
"Rosario, Eddie",22,21,14,3,0,1,1,1,7,31.8,1,4.5,16,44,0.143,0.099,0.182,0.14,0.429,0.161,0.253,0.136,0,0.154,0.286,36.4,82.8,89.6,9,143,14.3,0.0,0.0,32.0,4,1,2,0,0,0.798,9,0,0,0,0,0
"Sanchez, Yolmer",280,238,179,45,26,14,0,5,60,21.4,35,12.5,146,527,0.189,0.222,0.307,0.335,0.311,0.328,0.283,0.302,7,0.23,0.122,27.7,87.4,90.6,18,163,31.3,3.9,2.5,32.0,84,39,31,5,0,0.648,80,7,6,0,1,2
"Schwartz, JT",84,75,60,15,10,4,0,1,16,19.0,4,4.8,26,166,0.2,0.216,0.274,0.288,0.293,0.348,0.256,0.282,2,0.237,0.093,15.7,88.5,91.0,24,180,35.0,3.3,2.4,24.0,23,5,7,0,0,0.567,22,2,4,0,1,0
"Senger, Hayden",131,115,85,29,17,8,1,3,31,23.7,11,8.4,65,241,0.252,0.226,0.336,0.315,0.417,0.346,0.33,0.296,4,0.317,0.165,27.0,85.5,91.0,10,147,28.2,4.7,3.1,27.0,40,17,24,0,0,0.778,52,4,4,2,1,0
"Stewart, DJ",55,40,25,12,7,3,0,2,15,27.3,13,23.6,36,102,0.3,0.251,0.491,0.456,0.525,0.402,0.444,0.393,3,0.435,0.225,35.3,88.4,91.0,15,138,36.0,12.0,5.5,30.0,13,6,3,2,0,0.957,18,2,2,0,0,0
"Thomas, Rhylan",192,179,155,41,25,11,0,5,24,12.5,13,6.8,54,387,0.229,0.203,0.281,0.257,0.374,0.281,0.286,0.242,1,0.24,0.145,14.0,86.4,89.6,11,162,23.2,0.6,0.5,24.0,49,35,18,5,2,0.663,69,1,0,0,0,0
"Thompson, Trayce",252,224,163,51,22,13,0,16,65,25.8,23,9.1,146,468,0.228,0.217,0.298,0.292,0.5,0.409,0.337,0.307,20,0.238,0.272,31.2,89.9,92.1,17,154,39.9,12.3,7.9,33.0,62,36,44,6,1,0.8,112,5,1,0,4,1
"Vientos, Mark",132,116,78,33,21,5,1,6,38,28.8,15,11.4,79,238,0.284,0.237,0.371,0.331,0.5,0.444,0.376,0.337,10,0.375,0.216,33.2,91.8,92.8,5,151,47.4,12.8,7.6,24.0,31,21,30,0,0,0.876,58,1,1,0,0,0
